Name,club,overall,player_positions
Petr Čech,Chelsea,85,GK
Carlos Alberto Tevez,Juventus,85,"ST, CF"
Gerard Piqué Bernabéu,FC Barcelona,84,CB
Arda Turan,Atlético Madrid,84,"LM, RM, CAM"
Alexis Alejandro Sánchez Sánchez,Arsenal,84,"RW, ST"
Oscar dos Santos Emboaba Júnior,Chelsea,84,"CAM, RM"
Samir Nasri,Manchester City,84,"LM, RM"
Medhi Amine El Mouttaqi Benatia,FC Bayern München,84,CB
Sami Khedira,Real Madrid,84,"CDM, CM"
Gonzalo Gerardo Higuaín,Napoli,84,ST
Salvatore Sirigu,Paris Saint-Germain,84,GK
Iker Casillas Fernández,Real Madrid,84,GK
Andrea Pirlo,Juventus,84,"CM, CDM"
Xabier Alonso Olano,FC Bayern München,84,"CDM, CM"
Daniele De Rossi,Roma,84,CDM
Giorgio Chiellini,Juventus,84,CB
Wesley Sneijder,Galatasaray SK,84,"CAM, CM, LM"
Santiago Cazorla González,Arsenal,84,"LM, CAM, RM"
Klaas-Jan Huntelaar,FC Schalke 04,84,ST
Francesc Fàbregas i Soler,Chelsea,84,"CM, CAM"
Diego Godín,Atlético Madrid,84,CB
Paul Pogba,Juventus,83,"CM, CAM"
Francisco Román Alarcón Suárez,Real Madrid,83,"CAM, CM, LM, CDM"
İlkay Gündoğan,Borussia Dortmund,83,"CM, CDM, CAM"
David De Gea Quintana,Manchester United,83,GK
Juan Cuadrado,Fiorentina,83,"RM, LM"
Daniel Andre Sturridge,Liverpool,83,"ST, RW"
Miralem Pjanić,Roma,83,CM
Aaron Ramsey,Arsenal,83,"CM, CDM"
Pedro Eliezer Rodríguez Ledesma,FC Barcelona,83,"LW, RW"
Ezequiel Marcelo Garay,Zenit St. Petersburg,83,CB
Blaise Matuidi,Paris Saint-Germain,83,"CDM, CM"
Stéphane Ruffier,AS Saint-Étienne,83,GK
Ivan Rakitić,FC Barcelona,83,"CAM, CM"
Antonio Candreva,Lazio,83,RW
Roman Weidenfeller,Borussia Dortmund,83,GK
John Terry,Chelsea,83,CB
Per Mertesacker,Arsenal,83,CB
Jérémy Toulalan,AS Monaco,83,"CDM, CM"
Képler Laveran Lima Ferreira,Real Madrid,83,"CB, CDM"
Andrea Barzagli,Juventus,83,CB
Nemanja Vidić,Inter,83,CB
Javier Alejandro Mascherano,FC Barcelona,83,CB
Álvaro Negredo Sánchez,Valencia CF,83,ST
Daniel Alves da Silva,FC Barcelona,83,RB
Jesús Navas González,Manchester City,83,RM
Diego López Rodríguez,Milan,83,GK
Igor Akinfeev,PFC CSKA Moscow,83,GK
Jefferson Agustín Farfán Guadalupe,FC Schalke 04,83,RM
João Filipe Iria Santos Moutinho,AS Monaco,83,"CM, CAM"
Samir Handanovič,Inter,83,GK
João Miranda de Souza Filho,Atlético Madrid,83,CB
Claudio Marchisio,Juventus,83,"CM, CDM, CAM"
Claudio Andrés Bravo Muñoz,FC Barcelona,83,GK
Edin Džeko,Manchester City,83,ST
Mario Mandžukić,Atlético Madrid,83,ST
香川 真司,Borussia Dortmund,83,"CAM, LM, CM"
Givanildo Vieira de Souza,Zenit St. Petersburg,83,"RW, ST, RM"
Christian  Dannemann Eriksen,Tottenham Hotspur,82,"CAM, LM"
Marc-André ter Stegen,FC Barcelona,82,GK
Antoine Griezmann,Atlético Madrid,82,"LW, LM"
Carlos Alberto Vela Garrido,Real Sociedad,82,"RW, CAM, ST"
David Olatukunbo Alaba,FC Bayern München,82,"LB, CM, CDM, LM"
Lucas Rodrigues M. Silva,Paris Saint-Germain,82,"RW, RM"
Marek Hamšík,Napoli,82,CAM
Mario  Barwuah Balotelli,Liverpool,82,ST
Dries Mertens,Napoli,82,CAM
Marcelo Vieira da Silva Júnior,Real Madrid,82,LB
Nemanja Matić,Chelsea,82,"CDM, CM"
Bernd Leno,Bayer 04 Leverkusen,82,GK
Jorge Resurrección Merodio,Atlético Madrid,82,"LM, RM, CM"
Jackson Martínez,FC Porto,82,ST
Giuseppe Rossi,Fiorentina,82,ST
Asmir Begović,Stoke City,82,GK
Jan Vertonghen,Tottenham Hotspur,82,"CB, LB"
Sokratis Papastathopoulos,Borussia Dortmund,82,"CB, RB"
Benedikt Höwedes,FC Schalke 04,82,"CB, RB, LB"
Willian Borges da Silva,Chelsea,82,"RM, CAM"
Neven Subotić,Borussia Dortmund,82,CB
Osvaldo Nicolás Fabián Gaitán,SL Benfica,82,LM
Seydou Doumbia,PFC CSKA Moscow,82,ST
Joe Hart,Manchester City,82,GK
Simon Mignolet,Liverpool,82,GK
David Luiz Moreira Marinho,Paris Saint-Germain,82,CB
Luiz Gustavo Dias,VfL Wolfsburg,82,CDM
Gianluigi Buffon,Juventus,82,GK
Steven  Gerrard,Liverpool,82,"CDM, CM"
Tim Howard,Everton,82,GK
Daniel Miguel Alves Gomes,Zenit St. Petersburg,82,"LW, CAM"
Júlio César Soares de Espíndola,SL Benfica,82,GK
Thiago Motta,Paris Saint-Germain,82,"CDM, CM"
René Adler,Hamburger SV,82,GK
Alex Rodrigo Dias da Costa,Milan,82,CB
Diego Ribas da Cunha,Fenerbahçe SK,82,"CAM, LM, RM"
Pablo Javier Zabaleta Girod,Manchester City,82,RB
Gabriel Fernández Arenas,Atlético Madrid,82,"CM, CDM"
Mario Gómez García,Fiorentina,82,ST
Rodrigo Sebastián Palacio,Inter,82,ST
Dante Bonfim da Costa Santos,FC Bayern München,82,CB
Ezequiel Iván Lavezzi,Paris Saint-Germain,82,"LW, ST"
Borja Valero Iglesias,Fiorentina,82,CM
Leighton Baines,Everton,82,LB
Steve Mandanda,Olympique de Marseille,82,GK
Filipe Luís Kasmirski,Chelsea,82,LB
Jakub Błaszczykowski,Borussia Dortmund,82,RM
Łukasz Piszczek,Borussia Dortmund,82,RB
Anderson Hernanes de Carvalho Andrade,Inter,82,"CM, CAM"
Fernando Muslera,Galatasaray SK,82,GK
Francisco Amorebielsa,Venezuela,82,"CB, LB"
Sofiane Feghouli,Valencia CF,81,"RM, RW"
Raphaël Varane,Real Madrid,81,CB
Aymeric  Laporte,Athletic Club de Bilbao,81,"CB, LB"
Philippe Coutinho Correia,Liverpool,81,"CAM, LW, CM"
Thiago Alcântara do Nascimento,FC Bayern München,81,"CM, CAM, CDM"
Kevin De Bruyne,VfL Wolfsburg,81,"CAM, LM, RM"
Theo  Walcott,Arsenal,81,RM
Jordi Alba Ramos,FC Barcelona,81,LB
Jack Wilshere,Arsenal,81,"CM, CDM, LM"
Kevin Strootman,Roma,81,CM
Henrikh Mkhitaryan,Borussia Dortmund,81,"CAM, LM, RM"
Roberto Firmino Barbosa de Oliveira,TSG 1899 Hoffenheim,81,"CAM, CF"
Giovani dos Santos Ramírez,Villarreal CF,81,"ST, CF, LW, RW"
Nuri Şahin,Borussia Dortmund,81,"CM, CDM"
Leandro Castán da Silva,Roma,81,CB
Lars Bender,Bayer 04 Leverkusen,81,"CM, CDM"
Stevan Jovetić,Manchester City,81,"ST, CF"
Ander Iturraspe Derteano,Athletic Club de Bilbao,81,"CDM, CM"
Wilfried Guemiand Bony,Swansea City,81,ST
André Schürrle,Chelsea,81,"LM, RM"
Gervais Lombe Yao Kouassi,Roma,81,"LW, RW"
Sven Bender,Borussia Dortmund,81,CDM
Javier Hernández Balcázar,Real Madrid,81,ST
Mamadou Sakho,Liverpool,81,CB
Luís Carlos Almeida da Cunha,Sporting CP,81,"RM, LM"
Ramires Santos do Nascimento,Chelsea,81,"CDM, CM"
Samuel Eto'o Fils,Everton,81,ST
Miroslav Klose,Lazio,81,ST
José Manuel  Reina Páez,FC Bayern München,81,GK
Dimitar Ivanov Berbatov,AS Monaco,81,"ST, CAM"
Didier Yves Drogba Tébily,Chelsea,81,ST
Ashley Cole,Roma,81,LB
Rafael van der Vaart,Hamburger SV,81,"CAM, CF, CM"
Fernando José Torres Sanz,Milan,81,ST
Nigel de Jong,Milan,81,"CDM, CM"
Cédric Carrasso,FC Girondins de Bordeaux,81,GK
Felipe Melo de Carvalho,Galatasaray SK,81,"CDM, CM"
Fernando Luiz Rosa,Manchester City,81,"CM, CDM"
Stefan Kießling,Bayer 04 Leverkusen,81,ST
Tolga Zengin,Beşiktaş JK,81,GK
Roberto Soldado Rillo,Tottenham Hotspur,81,ST
Ânderson Luís da Silva,SL Benfica,81,CB
Daniel Munthe Agger,Brøndby IF,81,CB
Clint Dempsey,Seattle Sounders FC,81,"CF, CAM, ST"
Riccardo Montolivo,Milan,81,"CM, CDM"
Fernando Javier Llorente Torres,Juventus,81,ST
Mbark Boussoufa,Lokomotiv Moscow,81,CAM
Gary Cahill,Chelsea,81,CB
Laurent Koscielny,Arsenal,81,CB
Diego Alves Carreira,Valencia CF,81,GK
Martin Škrtel,Liverpool,81,CB
Yohan Cabaye,Paris Saint-Germain,81,"CM, CAM, CDM"
Mathieu Valbuena,Dinamo Moscow,81,"CAM, RW"
Branislav Ivanović,Chelsea,81,"RB, CB"
António Alberto Bastos Pimparel,Sevilla FC,81,GK
Carlos Arturo Bacca Ahumada,Sevilla FC,81,ST
Stephan El Shaarawy,Milan,80,LW
Daniel Parejo Muñoz,Valencia CF,80,"CM, CAM"
Eliaquim Mangala,Manchester City,80,CB
Romelu Lukaku,Everton,80,ST
Rodrigo Moreno Machado,Valencia CF,80,"ST, CF, RW, LW"
Marco Verratti,Paris Saint-Germain,80,"CM, CDM"
Raheem Sterling,Liverpool,80,"RW, LW, CAM"
Íñigo Martínez Berridi,Real Sociedad,80,CB
Bernard  Anício Caldeira Duarte,Shakhtar Donetsk,80,CAM
Axel  Witsel,Zenit St. Petersburg,80,"CM, CDM"
Éver Maximiliano David Banega,Sevilla FC,80,"CM, CDM"
Christian Benteke Liolo,Aston Villa,80,ST
José Paulo Bezzera Maciel Júnior,Tottenham Hotspur,80,"CM, CDM"
Markel Susaeta Laskurain,Athletic Club de Bilbao,80,"RW, RM"
Iker Muniaín Goñi,Athletic Club de Bilbao,80,"LW, CAM"
Ciro Immobile,Borussia Dortmund,80,ST
Xherdan Shaqiri,FC Bayern München,80,"RM, LM, CAM"
Julian Draxler,FC Schalke 04,80,"LM, CAM, RM"
Morgan Schneiderlin,Southampton,80,"CDM, CM"
Rui Pedro dos Santos Patrício,Sporting CP,80,GK
Kevin Trapp,Eintracht Frankfurt,80,GK
Douglas Costa de Souza,Shakhtar Donetsk,80,"CAM, RW"
Nicolás Hernán Otamendi,Valencia CF,80,CB
Holger Badstuber,FC Bayern München,80,"CB, LB"
Maxime Gonalons,Olympique Lyonnais,80,"CDM, CB"
Ricardo Rodriguez,VfL Wolfsburg,80,LB
Chinenye Emenike,Fenerbahçe SK,80,"ST, RW"
Francisco Casilla Cortés,RCD Espanyol,80,GK
Sidney Sam,FC Schalke 04,80,"RW, CF, RM"
José María Callejón Bueno,Napoli,80,"CAM, RM"
Wojciech  Szczęsny,Arsenal,80,GK
Artem Dzyuba,Spartak Moscow,80,ST
José Salomón Rondón Giménez,Zenit St. Petersburg,80,ST
Moussa Sidi Yaya Dembélé,Tottenham Hotspur,80,"CM, CDM, CAM"
Gonzalo Castro Randon,Bayer 04 Leverkusen,80,"CM, RM, RB, CF"
Kevin-Prince Boateng,FC Schalke 04,80,"CM, CAM, CDM, ST"
Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,80,"CM, CDM"
Alessio Cerci,Atlético Madrid,80,"CF, RW"
Loïc Rémy,Chelsea,80,"ST, LW"
Dejan Lovren,Liverpool,80,CB
Dušan Tadić,Southampton,80,"CAM, LW, LM"
Kevin Mirallas,Everton,80,RM
Simon Thorup Kjær,LOSC Lille,80,CB
Onur Recep Kıvrak,Trabzonspor,80,GK
Francesco Totti,Roma,80,"CF, ST"
Tiago Cardoso Mendes,Atlético Madrid,80,"CM, CDM"
Gareth Barry,Everton,80,CDM
Antonio Cassano,Parma,80,CF
Tomáš  Rosický,Arsenal,80,"CAM, RM"
Ricardo Andrade Quaresma Bernardo,FC Porto,80,"RW, LW"
Ronaldo de Assis Moreira,Querétaro,80,CAM
Mikel Arteta Amatriain,Arsenal,80,CDM
Jermain  Defoe,Toronto FC,80,ST
Patrice Evra,Juventus,80,"LB, LM"
Emmanuel Adebayor,Tottenham Hotspur,80,ST
Andoni Iraola Sagarna,Athletic Club de Bilbao,80,RB
Aritz Aduriz Zubeldia,Athletic Club de Bilbao,80,ST
Jérémy Mathieu,FC Barcelona,80,"CB, LB, LM"
David Villa Sánchez,Melbourne City FC,80,"ST, LW, LM"
Diego Orlando Benaglio,VfL Wolfsburg,80,GK
Bruno Eduardo Regufe Alves,Fenerbahçe SK,80,CB
Vincent Enyeama,LOSC Lille,80,GK
Francisco Guillermo Ochoa Magaña,Málaga CF,80,GK
Raffael Caetano de Araújo,Borussia Mönchengladbach,80,"CF, ST, CAM"
Igor Denisov,Dinamo Moscow,80,CDM
Rio Antonio Zoba Mavuba,LOSC Lille,80,CDM
Gaël Clichy,Manchester City,80,LB
Raúl Albiol Tortajada,Napoli,80,CB
Alexandre Dimitri Song-Billong,West Ham United,80,"CDM, CM"
Mathieu Debuchy,Arsenal,80,RB
Loïc Perrin,AS Saint-Étienne,80,CB
Bacary Sagna,Manchester City,80,RB
Luis Antonio Valencia Mosquera,Manchester United,80,"RM, RWB"
Ronaldo  Aparecido Rodrigues,VfL Wolfsburg,80,CB
Demba Ba,Beşiktaş JK,80,ST
Miguel Luís Pinto Veloso,Portugal,80,"CDM, CM"
Federico Julián Fazio,Tottenham Hotspur,80,CB
Aurélien Chedjou,Galatasaray SK,80,CB
Alberto Facundo Costa,Spartak Moscow,80,CM
Marko Baša,LOSC Lille,80,CB
Enzo Pérez,SL Benfica,80,"CM, RM"
Omar Luis Cardosa,Paraguay,80,ST
Mateo Pablo Musacchio,Villarreal CF,79,"CB, CDM"
Nicolas N'Koulou,Olympique de Marseille,79,CB
Javier Matías Pastore,Paris Saint-Germain,79,"CM, LM"
Rémy Cabella,Newcastle United,79,CAM
Lorenzo Insigne,Napoli,79,"CAM, CF, LW"
Francisco Alcácer García,Valencia CF,79,"ST, CF"
Semih Kaya,Galatasaray SK,79,CB
Tim Krul,Newcastle United,79,GK
Yann Sommer,Borussia Mönchengladbach,79,GK
Ron-Robert Zieler,Hannover 96,79,GK
Alan Dzagoev,PFC CSKA Moscow,79,"CAM, CDM, LM"
Giacomo Bonaventura,Milan,79,LM
Vicente Guaita Panadero,Getafe CF,79,GK
Asier Illarramendi Andonegi,Real Madrid,79,"CM, CDM"
Eduardo Antonio Salvio,SL Benfica,79,RM
Alex Sandro Lobo Silva,FC Porto,79,LB
Ander Herrera Agüera,Manchester United,79,"CM, CAM"
Alexandre Lacazette,Olympique Lyonnais,79,"ST, RW, CF"
Phil Jones,Manchester United,79,"CB, RB, CM"
Kevin Volland,TSG 1899 Hoffenheim,79,"RM, CF, ST"
Mario Suárez Mata,Atlético Madrid,79,"CM, CDM"
Kévin Gameiro,Sevilla FC,79,ST
Adel Taarabt,Queens Park Rangers,79,"CAM, LM"
Séamus Coleman,Everton,79,RB
Adam David Lallana,Liverpool,79,"CAM, RM, LM"
Valentin Stocker,Hertha BSC,79,"LM, CF"
Fernando Francisco Reges,Manchester City,79,"CDM, CM"
Jonathan Ludovic Biabiany,Parma,79,"RW, LW"
Leonardo Bonucci,Juventus,79,CB
Kwadwo Asamoah,Juventus,79,"LM, CM"
James McCarthy,Everton,79,"CDM, CM"
Daley Blind,Manchester United,79,"CDM, LB, CM"
Víctor Ruíz Torre,Villarreal CF,79,"CB, CDM, CM"
Grzegorz Krychowiak,Sevilla FC,79,CDM
Aymen Abdennour,AS Monaco,79,CB
Ibai Gómez Pérez,Athletic Club de Bilbao,79,"LW, CAM, RB"
Gerard Deulofeu Lázaro,Sevilla FC,79,"RW, RM"
Daniel Carvajal Ramos,Real Madrid,79,RB
Rasmus Elm,PFC CSKA Moscow,79,CDM
Jonny Evans,Manchester United,79,CB
Fábio Alexandre da Silva Coentrão,Real Madrid,79,LB
Sergio  Asenjo Andrés,Villarreal CF,79,GK
César Azpilicueta Tanco,Chelsea,79,"LB, RB"
Ömer Toprak,Bayer 04 Leverkusen,79,CB
Sven Ulreich,VfB Stuttgart,79,GK
Alex Teixeira dos Santos,Shakhtar Donetsk,79,"CAM, CDM"
Pierre-Emerick Aubameyang,Borussia Dortmund,79,"RM, ST, RW"
Keylor Navas,Real Madrid,79,GK
Jasper Cillessen,Ajax,79,GK
Faustino Marcos Alberto Rojo,Manchester United,79,"CB, LB"
Roman Eremenko,PFC CSKA Moscow,79,"CAM, LM"
Radja Nainggolan,Roma,79,CM
Balázs Dzsudzsák,Dinamo Moscow,79,"LM, RM"
Kamil Glik,Torino,79,CB
Sandro Ranieri Guimarães Cordeiro,Queens Park Rangers,79,"CDM, CM"
Francisco Javier  García Fernández,Zenit St. Petersburg,79,"CDM, CM, CB"
Marouane Fellaini-Bakkioui,Manchester United,79,"CDM, CM"
Martín Cáceres,Juventus,79,"CB, RB"
Vicente Iborra de la Fuente,Sevilla FC,79,"CDM, CM"
Robbie Keane,LA Galaxy,79,"ST, CF"
Morgan De Sanctis,Roma,79,GK
Frank  Lampard,Manchester City,79,"CM, CDM"
Rio  Ferdinand,Queens Park Rangers,79,CB
Landon Donovan,LA Galaxy,79,"LM, ST"
Michael Carrick,Manchester United,79,"CM, CDM"
Claudio Miguel Pizarro Bossio,FC Bayern München,79,"ST, CAM"
Fabricio Coloccini,Newcastle United,79,CB
Steven Pienaar,Everton,79,LM
Phil Jagielka,Everton,79,CB
Alberto Aquilani,Fiorentina,79,"CM, CDM"
Michael  Dawson,Hull City,79,CB
Martín Gastón Demichelis,Manchester City,79,CB
Maicon Douglas Sisenando,Roma,79,RB
Michel Vorm,Tottenham Hotspur,79,GK
Joleon Lescott,West Bromwich Albion,79,CB
Wilfredo Daniel Caballero,Manchester City,79,GK
Helton da Silva Arruda,FC Porto,79,GK
Federico Marchetti,Lazio,79,GK
Darijo Srna,Shakhtar Donetsk,79,RB
Gonzalo Javier Rodríguez,Fiorentina,79,CB
Volkan Demirel,Fenerbahçe SK,79,GK
Xabier Prieto Argarate,Real Sociedad,79,"CAM, RW"
Álvaro Arbeloa Coca,Real Madrid,79,"RB, LB"
Juan Francisco Torres Belén,Atlético Madrid,79,"RB, RM, LB"
Ivica Olić,VfL Wolfsburg,79,ST
Raúl José Trindade Meireles,Fenerbahçe SK,79,"CM, CDM"
Aaron  Lennon,Tottenham Hotspur,79,"RM, LM"
Thomas Vermaelen,FC Barcelona,79,"CB, LB"
Manuel Henrique Tavares Fernandes,Lokomotiv Moscow,79,"CM, CDM, CAM"
Gökhan İnler,Napoli,79,"CDM, CM"
Valon Behrami,Hamburger SV,79,"CDM, CM"
Vedad Ibišević,VfB Stuttgart,79,ST
Younès Kaboul,Tottenham Hotspur,79,CB
Lassana Diarra,Lokomotiv Moscow,79,"CDM, CM"
Ashley Williams,Swansea City,79,CB
Roman Shirokov,Spartak Moscow,79,"CM, CAM"
Ron Vlaar,Aston Villa,79,CB
Fredy Alejandro Guarín Vásquez,Inter,79,"CM, CAM"
Cristian Gabriel Rodríguez Barrotti,Atlético Madrid,79,LM
Raúl García Escudero,Atlético Madrid,79,"RM, CAM, ST"
Mikel González de Martín Martínez,Real Sociedad,79,CB
Lucas  Pezzini Leiva,Liverpool,79,"CDM, CM"
Gustavo Adrián Ramos Vásquez,Borussia Dortmund,79,ST
Jonas Gonçalves Oliveira,SL Benfica,79,"ST, CAM"
Olivier Giroud,Arsenal,79,ST
Oscar René Cardozo Marín,Trabzonspor,79,ST
Dame N'Doye,Lokomotiv Moscow,79,ST
Vedran Ćorluka,Lokomotiv Moscow,79,CB
Bruno  Soriano Llido,Villarreal CF,79,"CM, CDM"
本田 圭佑,Milan,79,"CAM, RM"
João Pedro da Silva Pereira,Valencia CF,79,RB
Memphis Depay,PSV,78,LW
Lazar  Marković,Liverpool,78,"RM, LM"
Alex Oxlade-Chamberlain,Arsenal,78,"RM, CM, RW"
Ross Barkley,Everton,78,CAM
Marcos  Aoás Corrêa,Paris Saint-Germain,78,CB
Juan Fernando Quintero,FC Porto,78,"CAM, LW"
William Silva de Carvalho,Sporting CP,78,CDM
Erik Lamela,Tottenham Hotspur,78,"RM, CAM"
Kyriakos Papadopoulos,Bayer 04 Leverkusen,78,"CB, CDM"
Lacina Traoré,AS Monaco,78,ST
Juan Guilherme Nunes Jesus,Inter,78,CB
Alberto Moreno Pérez,Liverpool,78,LB
Héctor Alfredo Moreno Herrera,RCD Espanyol,78,CB
Etienne Capoue,Tottenham Hotspur,78,"CDM, CB"
Georginio Wijnaldum,PSV,78,"CAM, RW, CM"
Jordan Brian Henderson,Liverpool,78,CM
Pablo Daniel Piatti,Valencia CF,78,"LW, LM, CF, RW"
Adrien Sebastian Perruchet Silva,Sporting CP,78,CM
Mikel San José Domínguez,Athletic Club de Bilbao,78,"CB, CDM"
Andrea Poli,Milan,78,"CM, CAM"
Daniel Nii Tackie Mensah Welbeck,Arsenal,78,"ST, CF, LM"
Gökhan Töre,Beşiktaş JK,78,"RM, LM"
Cristian Tello Herrera,FC Porto,78,"RW, LW"
Marco Aurelio Etxeberría,Paraguay,78,"LM, LB"
Yuriy Lodygin,Zenit St. Petersburg,78,GK
Michael Bradley,Toronto FC,78,"CM, CDM"
Jérémy Ménez,Milan,78,"RW, LW, CF"
Andrea Consigli,Sassuolo,78,GK
Yura Movsisyan,Spartak Moscow,78,ST
André Ayew Pelé,Olympique de Marseille,78,"LM, CAM"
Patrick Ebert,Spartak Moscow,78,RM
Ivan Perišić,VfL Wolfsburg,78,"LM, RM"
Toby Alderweireld,Southampton,78,CB
Kieran  Gibbs,Arsenal,78,LB
Taison Barcellos Freda,Shakhtar Donetsk,78,"CAM, LW"
Óscar de Marcos Arana,Athletic Club de Bilbao,78,"RB, RW, CAM, CM"
Aleksandr Kokorin,Dinamo Moscow,78,"ST, CAM"
Stefan de Vrij,Lazio,78,CB
Pierre-Michel Lasogga,Hamburger SV,78,ST
Rafael Alcântara do Nascimento,FC Barcelona,78,"CAM, CM, RM, RW"
Stefan Savić,Fiorentina,78,CB
Pedro Camilo Franco Ulloa,Beşiktaş JK,78,"CB, CDM"
Davide Astori,Roma,78,CB
Domenico Criscito,Zenit St. Petersburg,78,LB
Adrián López Álvarez,FC Porto,78,"ST, RW"
Dimitri  Payet,Olympique de Marseille,78,"LM, RM"
Konstantinos Mitroglou,Olympiacos CFP,78,"ST, CF"
Max Kruse,Borussia Mönchengladbach,78,"CF, ST"
Yann Gérard M'Vila,Inter,78,"CDM, CM"
Ignacio Camacho Barnola,Málaga CF,78,"CDM, CB"
Romain Hamouma,AS Saint-Étienne,78,"RW, RM, CAM"
Oliver Baumann,TSG 1899 Hoffenheim,78,GK
João Natailton Ramos dos Santos,FC Krasnodar,78,"LM, LW"
John Michael Nchekwube Obinna,Chelsea,78,"CDM, CM"
Jorge Andújar Moreno,Sevilla FC,78,RB
Jeremain Lens,Netherlands,78,"RW, ST"
Lars Stindl,Hannover 96,78,"RM, CDM, CAM, CM"
Mame Biram Diouf,Stoke City,78,ST
Marcel Schmelzer,Borussia Dortmund,78,LB
Stefan Reinartz,Bayer 04 Leverkusen,78,"CDM, CM, CB"
Yaroslav Rakitskyi,Shakhtar Donetsk,78,"CB, LB"
Alejandro Arribas Garrido,Sevilla FC,78,CB
Zoran Tošić,PFC CSKA Moscow,78,RM
Benoît Costil,Stade Rennais FC,78,GK
Ryan Shawcross,Stoke City,78,CB
Martin Stranzl,Borussia Mönchengladbach,78,CB
Thierry  Henry,New York Red Bulls,78,"CF, ST, LM"
Sebastian Kehl,Borussia Dortmund,78,CDM
Brad Friedel,Tottenham Hotspur,78,GK
Ricardo Miguel Moreira da Costa,Portugal,78,"CB, RB"
Kim Källström,Spartak Moscow,78,"CM, CDM"
Joaquín Sánchez Rodríguez,Fiorentina,78,"RW, LW"
Diego Forlán Corazo,Uruguay,78,ST
Miguel Ángel Moyá Rumbo,Atlético Madrid,78,GK
Gorka Iraizoz Moreno,Athletic Club de Bilbao,78,GK
Rubén Castro Martín,Real Betis,78,"ST, LM"
Kolo Habib Touré,Liverpool,78,CB
Antonio Di Natale,Udinese,78,ST
Simon Rolfes,Bayer 04 Leverkusen,78,"CDM, CM"
Burak Yılmaz,Galatasaray SK,78,"ST, CF, RW, LW"
Mehmet Topal,Fenerbahçe SK,78,"CDM, CB"
Atiba Hutchinson,Beşiktaş JK,78,"CDM, RB, CM"
이동국 李东国,Korea Republic,78,ST
Goran Pandev,Galatasaray SK,78,"CF, CAM"
Esteban Matías Cambiasso Delau,Leicester City,78,"CDM, CM"
James Philip Milner,Manchester City,78,"RM, CM"
Antonio Mirante,Parma,78,GK
Emir Spahić,Bayer 04 Leverkusen,78,CB
Diego Alberto Milito,Racing Club,78,ST
Olcan Adın,Galatasaray SK,78,"RM, LM, LB"
Egemen Korkmaz,Fenerbahçe SK,78,CB
Ikechukwu Uche,Villarreal CF,78,"ST, CF, RW"
Mikel Rico Moreno,Athletic Club de Bilbao,78,CM
Javier Fuego Martínez,Valencia CF,78,"CDM, CM"
Aleksandr Samedov,Lokomotiv Moscow,78,"RM, CAM, RW"
Vasiliy Berezutskiy,PFC CSKA Moscow,78,CB
Ashley Young,Manchester United,78,"LM, LWB"
André-Pierre Gignac,Olympique de Marseille,78,ST
