Name,club,overall,player_positions
Álvaro Borja Morata Martín,Chelsea,84,ST
Kalidou Koulibaly,Napoli,84,CB
Julian Draxler,Paris Saint-Germain,84,"LW, CAM, LM"
Daniel Carvajal Ramos,Real Madrid,84,RB
Sadio Mané,Liverpool,84,"RW, LW"
Roman Bürki,Borussia Dortmund,84,GK
Shkodran Mustafi,Arsenal,84,CB
Kostas Manolas,Roma,84,CB
Sergio  Asenjo Andrés,Villarreal CF,84,GK
Ralf Fährmann,FC Schalke 04,84,GK
Kevin Strootman,Roma,84,"CM, CDM"
Aritz Aduriz Zubeldia,Athletic Club de Bilbao,84,ST
Alejandro Darío Gómez,Atalanta,84,"CF, LW, ST"
Daniel Alves da Silva,Paris Saint-Germain,84,RB
Gary Cahill,Chelsea,84,CB
Laurent Koscielny,Arsenal,84,CB
Radamel Falcao García Zárate,AS Monaco,84,ST
Dimitri  Payet,Olympique de Marseille,84,"LW, CAM"
Medhi Amine El Mouttaqi Benatia,Juventus,84,CB
Juan Manuel Mata García,Manchester United,84,"CAM, RM"
Sami Khedira,Juventus,84,"CM, CDM"
Willian Borges da Silva,Chelsea,84,"RW, RM, CAM"
Edin Džeko,Roma,84,ST
Ivan Perišić,Inter,84,"LM, CAM"
Bruno  Soriano Llido,Villarreal CF,84,"CM, CDM"
Pedro Eliezer Rodríguez Ledesma,Chelsea,84,"RW, LW"
Ander Herrera Agüera,Manchester United,84,"CM, CDM"
Kylian Mbappé,Paris Saint-Germain,83,ST
Ousmane Dembélé,FC Barcelona,83,"RW, LW, CAM"
Thomas Lemar,AS Monaco,83,LM
Andrea Belotti,Torino,83,ST
Marcos  Aoás Corrêa,Paris Saint-Germain,83,CB
Ederson Santana de Moraes,Manchester City,83,GK
Niklas Süle,FC Bayern München,83,CB
Gerónimo Rulli,Real Sociedad,83,GK
Mattia Perin,Genoa,83,GK
Stefan de Vrij,Lazio,83,CB
Samuel Umtiti,FC Barcelona,83,CB
Fábio Henrique Tavares,AS Monaco,83,CDM
João Mário Naval Costa Eduardo,Inter,83,"CM, CAM"
Naby Keïta,RB Leipzig,83,"CM, CDM, CAM"
Roberto Firmino Barbosa de Oliveira,Liverpool,83,"ST, CF, CAM"
José María Giménez de Vargas,Atlético Madrid,83,CB
Mateo Pablo Musacchio,Milan,83,CB
Oscar dos Santos Emboaba Júnior,Brazil,83,CAM
Anthony Lopes,Olympique Lyonnais,83,GK
Danilo Luís Hélio Pereira,FC Porto,83,"CDM, CB, CM"
Virgil van Dijk,Southampton,83,CB
William Silva de Carvalho,Sporting CP,83,"CDM, CM"
Mohamed  Salah Ghaly,Liverpool,83,RW
Morgan Schneiderlin,Everton,83,"CDM, CM"
Joël Andre Job Matip,Liverpool,83,CB
Emil Forsberg,RB Leipzig,83,"CAM, LM"
Kasper Schmeichel,Leicester City,83,GK
Yann Sommer,Borussia Mönchengladbach,83,GK
Ömer Toprak,Borussia Dortmund,83,CB
Kyle Walker,Manchester City,83,"RB, RWB"
Idrissa Gana Gueye,Everton,83,"CDM, CM"
Riyad Mahrez,Leicester City,83,RM
Iker Casillas Fernández,FC Porto,83,GK
Gnégnéri Yaya Touré,Manchester City,83,"CM, CDM"
Ricardo Andrade Quaresma Bernardo,Beşiktaş JK,83,"RM, LM"
José Manuel  Reina Páez,Napoli,83,GK
Daniele De Rossi,Roma,83,CDM
Luís Carlos Almeida da Cunha,Lazio,83,"LW, RW, CAM, LM"
Wesley Sneijder,OGC Nice,83,CAM
Javier Alejandro Mascherano,FC Barcelona,83,"CB, CDM"
Santiago Cazorla González,Arsenal,83,"CM, CDM"
Diego López Rodríguez,RCD Espanyol,83,GK
Juan Francisco Torres Belén,Atlético Madrid,83,RB
Lucas Rodrigo Biglia,Milan,83,"CDM, CM"
Loïc Perrin,AS Saint-Étienne,83,CB
Borja Valero Iglesias,Inter,83,"CAM, CM, CF"
Moussa Sidi Yaya Dembélé,Tottenham Hotspur,83,"CM, CDM"
Luis Antonio Valencia Mosquera,Manchester United,83,RB
Ezequiel Marcelo Garay,Valencia CF,83,CB
Łukasz Piszczek,Borussia Dortmund,83,"RB, CB"
Kévin Gameiro,Atlético Madrid,83,ST
Jonas Gonçalves Oliveira,SL Benfica,83,"ST, CF"
Rui Pedro dos Santos Patrício,Sporting CP,83,GK
Éver Maximiliano David Banega,Sevilla FC,83,"CAM, CM"
Benedikt Höwedes,Juventus,83,CB
Adam David Lallana,Liverpool,83,CM
Mario Mandžukić,Juventus,83,"ST, LM"
Osvaldo Nicolás Fabián Gaitán,Atlético Madrid,83,LM
Sebastian Giovinco,Toronto FC,83,"CF, ST"
Adrien Sebastian Perruchet Silva,Portugal,83,"CM, CDM"
José María Callejón Bueno,Napoli,83,RW
Steven N'Kemboanza Mike Christopher Nzonzi,Sevilla FC,83,"CDM, CM"
Bas Dost,Sporting CP,83,ST
Giacomo Bonaventura,Milan,83,"CM, LW"
香川 真司,Borussia Dortmund,83,"CAM, CF"
Javier Matías Pastore,Paris Saint-Germain,83,"CM, LW, RW"
Nemanja Matić,Manchester United,83,"CDM, CM"
Nicolás Hernán Otamendi,Manchester City,83,CB
Iago Aspas Juncal,RC Celta,83,"ST, RW"
Víctor Machín Pérez,UD Las Palmas,83,"LM, RM"
Gianluigi Donnarumma,Milan,82,GK
Leroy Sané,Manchester City,82,"LW, RW, LM"
Saúl Ñíguez Esclápez,Atlético Madrid,82,"CM, RM"
Anthony Martial,Manchester United,82,"LM, ST"
Keita Baldé Diao,AS Monaco,82,"LW, ST"
Gerard Deulofeu Lázaro,FC Barcelona,82,"LW, RW"
Corentin Tolisso,FC Bayern München,82,"CM, CDM"
Mateo Kovačić,Real Madrid,82,"CM, CDM"
Leon Goretzka,FC Schalke 04,82,"CM, CAM, CDM"
André Filipe Tavares Gomes,FC Barcelona,82,"CM, LW, CAM"
Federico Bernardeschi,Juventus,82,"RM, CF, LM"
Jonathan Tah,Bayer 04 Leverkusen,82,CB
Tiémoué Bakayoko,Chelsea,82,"CDM, CM"
Eric Dier,Tottenham Hotspur,82,"CB, CDM"
Jesús Joaquín Fernández Sáez,Milan,82,RW
Raheem Sterling,Manchester City,82,"RW, RM, LM"
Sergio Rico González,Sevilla FC,82,GK
Timo Werner,RB Leipzig,82,ST
Willian José da Silva,Real Sociedad,82,ST
Íñigo Martínez Berridi,Real Sociedad,82,CB
Stefan Savić,Atlético Madrid,82,CB
Antonio Rüdiger,Chelsea,82,"CB, RB"
Georginio Wijnaldum,Liverpool,82,"CM, CAM"
Victor Wanyama,Tottenham Hotspur,82,"CDM, CM"
Xherdan Shaqiri,Stoke City,82,"RM, RW"
Granit Xhaka,Arsenal,82,"CM, CDM"
손흥민 孙兴慜,Tottenham Hotspur,82,"LM, RM, ST"
Lucas Rodrigues M. Silva,Paris Saint-Germain,82,"RW, LW"
Davy Klaassen,Everton,82,"CM, CAM"
Florian Thauvin,Olympique de Marseille,82,"RW, RM"
Manuel Trigueros Muñoz,Villarreal CF,82,"CM, CDM, CAM"
Quincy Anton Promes,Spartak Moscow,82,"RM, ST, LM"
Nabil Fekir,Olympique Lyonnais,82,"CAM, ST"
Jordan Brian Henderson,Liverpool,82,"CDM, CM"
Wojciech  Szczęsny,Juventus,82,GK
Kevin Trapp,Paris Saint-Germain,82,GK
Nathaniel Edwin Clyne,Liverpool,82,RB
Oliver Baumann,TSG 1899 Hoffenheim,82,GK
Alessandro  Florenzi,Roma,82,"RB, RW, CM"
Danny Rose,Tottenham Hotspur,82,"LB, LWB"
Lars Bender,Bayer 04 Leverkusen,82,"CDM, CM"
Aaron Ramsey,Arsenal,82,"CM, CDM, RM"
Ciro Immobile,Lazio,82,ST
Víctor Ruíz Torre,Villarreal CF,82,CB
Faustino Marcos Alberto Rojo,Manchester United,82,"CB, LB"
Lucas Vázquez Iglesias,Real Madrid,82,"RW, RM"
Jean Michaël Seri,OGC Nice,82,"CM, CDM"
Rune  Almenning Jarstein,Hertha BSC,82,GK
Stephan Lichtsteiner,Juventus,82,"RB, RM"
David Villa Sánchez,New York City FC,82,ST
Fernando Luiz Rosa,Manchester City,82,"CDM, CM, RB"
Arda Turan,FC Barcelona,82,"CM, RW, LW"
Raffael Caetano de Araújo,Borussia Mönchengladbach,82,"CF, ST"
Mario Gómez García,VfL Wolfsburg,82,ST
Joe Hart,West Ham United,82,GK
Raúl Albiol Tortajada,Napoli,82,CB
Benoît Costil,FC Girondins de Bordeaux,82,GK
João Filipe Iria Santos Moutinho,AS Monaco,82,"CM, CDM, CAM"
Andrea Consigli,Sassuolo,82,GK
Leighton Baines,Everton,82,LB
Steve Mandanda,Olympique de Marseille,82,GK
Ashley Williams,Everton,82,CB
Samir Nasri,Antalyaspor,82,"LM, CM, RM"
Gonzalo Castro Randon,Borussia Dortmund,82,"CM, CDM, RM"
Emiliano Viviano,Sampdoria,82,GK
Carlos Alberto Vela Garrido,Real Sociedad,82,"RW, ST"
Daniel Andre Sturridge,Liverpool,82,ST
Ronaldo  Aparecido Rodrigues,FC Schalke 04,82,CB
Asmir Begović,Bournemouth,82,GK
Claudio Andrés Bravo Muñoz,Manchester City,82,GK
Axel  Witsel,Belgium,82,"CM, CDM, CAM"
Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,82,CM
Javier Hernández Balcázar,West Ham United,82,ST
Branislav Ivanović,Zenit St. Petersburg,82,"CB, RB"
Olivier Giroud,Arsenal,82,ST
Federico Julián Fazio,Roma,82,CB
Vedran Ćorluka,Lokomotiv Moscow,82,CB
Fernando Muslera,Galatasaray SK,82,GK
Ljubomir Fejsa,SL Benfica,82,"CDM, CM"
Orestis Karnezis,Watford,82,GK
Max Kruse,SV Werder Bremen,82,"CF, ST, CAM"
Marko Arnautović,West Ham United,82,"LM, RM, LW"
Yacine Brahimi,FC Porto,82,LM
Gylfi Þór Sigurðsson,Everton,82,"CAM, LM"
Mario  Barwuah Balotelli,OGC Nice,82,ST
Lars Stindl,Borussia Mönchengladbach,82,"CF, CAM"
Marlos Romero Bonfim,Shakhtar Donetsk,82,RM
Taison Barcellos Freda,Shakhtar Donetsk,82,"LM, CAM"
Daniel Parejo Muñoz,Valencia CF,82,"CM, CAM, CDM"
Vicente Iborra de la Fuente,Leicester City,82,"CDM, CM, CAM"
Douglas Costa de Souza,Juventus,82,"LM, RM"
Juan Cuadrado,Juventus,82,RM
Gary Alexis Medel Soto,Beşiktaş JK,82,"CDM, CB"
Luís Miguel Afonso Fernandes,SL Benfica,82,"CM, RM"
Jonathan Viera Ramos,UD Las Palmas,82,"CM, LM, CAM"
Francesco Acerbi,Sassuolo,82,CB
Karim Bellarabi,Bayer 04 Leverkusen,82,RM
Roque Mesa Quevedo,Swansea City,82,"CDM, CM"
Franco Vázquez,Sevilla FC,82,"CAM, CM, CF"
Carlos Arturo Bacca Ahumada,Villarreal CF,82,ST
Felipe Augusto de Almeida Monteiro,FC Porto,82,CB
Islam Slimani,Leicester City,82,ST
Gabriel Fernando de Jesus,Manchester City,81,ST
Andreas Christensen,Chelsea,81,"CB, CDM"
Héctor Bellerín Moruno,Arsenal,81,RB
Davinson Sánchez,Tottenham Hotspur,81,CB
Gelson Dany Batalha Martins,Sporting CP,81,"RM, LM"
Manuel Lanzini,West Ham United,81,"CAM, LM"
Jack Butland,Stoke City,81,GK
Michael Keane,Everton,81,CB
Morgan Sanson,Olympique de Marseille,81,"CM, CDM"
Domenico Berardi,Sassuolo,81,RW
Joshua Kimmich,FC Bayern München,81,"RB, CM, CB, CDM"
Iñaki Williams Arthuer,Athletic Club de Bilbao,81,"RW, ST, LW"
Julian Weigl,Borussia Dortmund,81,"CDM, CM"
Nélson Cabral Semedo,FC Barcelona,81,RB
Ross Barkley,Everton,81,"CAM, RM, CM, RW"
Sergio Roberto Carnicer,FC Barcelona,81,"RB, CDM, CM"
Rafael Alcântara do Nascimento,FC Barcelona,81,"CM, RM, RW"
Felipe  Anderson Pereira Gomes,Lazio,81,"RW, LW, RM"
Raphaël Guerreiro,Borussia Dortmund,81,"LM, LWB, LB, CM"
Adrien Rabiot,Paris Saint-Germain,81,CM
Armindo Tué Na Bangna,RB Leipzig,81,"LM, RM"
Mario Götze,Borussia Dortmund,81,"CM, CAM"
Jesús Corona,FC Porto,81,RM
Serge Aurier,Tottenham Hotspur,81,RB
Hakim Ziyech,Ajax,81,"CM, CAM"
Marcelo Brozović,Inter,81,"CM, CDM"
Ignacio Camacho Barnola,VfL Wolfsburg,81,"CDM, CM"
Jack Wilshere,Arsenal,81,"CM, CAM, CDM"
Mario Gaspar Pérez Martínez,Villarreal CF,81,RB
Ricardo Rodríguez,Milan,81,"LB, CB"
Wilfried Zaha,Crystal Palace,81,"RM, LM"
Cédric Bakambu,Villarreal CF,81,"ST, LM"
Thomas Meunier,Paris Saint-Germain,81,"RB, RM"
Luiz Frello Filho Jorge,Napoli,81,CM
Christian Benteke Liolo,Crystal Palace,81,ST
Lukáš Hrádecký,Eintracht Frankfurt,81,GK
Marcos Alonso Mendoza,Chelsea,81,"LWB, LM, LB"
Mário Figueira Fernandes,PFC CSKA Moscow,81,"RWB, RM"
Dejan Lovren,Liverpool,81,CB
Kevin Kampl,RB Leipzig,81,"CM, CAM"
Grzegorz Krychowiak,West Bromwich Albion,81,CDM
Sebastián Coates Nión,Sporting CP,81,CB
Marc Bartra Aregall,Borussia Dortmund,81,CB
Jasper Cillessen,FC Barcelona,81,GK
José Ignacio Fernández Iglesias,Real Madrid,81,"CB, LB, RB"
Andrej Kramarić,TSG 1899 Hoffenheim,81,"ST, LW"
Simon Thorup Kjær,Sevilla FC,81,CB
Stevan Jovetić,AS Monaco,81,"ST, CAM"
Mamadou Sakho,Crystal Palace,81,CB
Giuliano Victor de Paula,Fenerbahçe SK,81,CAM
Ryad Boudebouz,Real Betis,81,CAM
Sebastian Rudy,FC Bayern München,81,"CM, CDM, RB, RM"
Chris Smalling,Manchester United,81,CB
Wissam Ben Yedder,Sevilla FC,81,ST
Simone Zaza,Valencia CF,81,ST
Daniel Garcia Carrillo,SD Eibar,81,CDM
Samuel Eto'o Fils,Antalyaspor,81,ST
Fernando José Torres Sanz,Atlético Madrid,81,ST
Thiago Motta,Paris Saint-Germain,81,CDM
Per Mertesacker,Arsenal,81,CB
Wayne Mark Rooney,Everton,81,"CAM, ST"
Miguel Ángel Moyá Rumbo,Atlético Madrid,81,GK
Cédric Carrasso,Galatasaray SK,81,GK
Bastian Schweinsteiger,Chicago Fire,81,"CM, CDM"
Vincent Enyeama,LOSC Lille,81,GK
Darijo Srna,Shakhtar Donetsk,81,RB
Gonzalo Javier Rodríguez,San Lorenzo de Almagro,81,CB
Gabriel Fernández Arenas,Atlético Madrid,81,CM
André-Pierre Gignac,Tigres U.A.N.L.,81,ST
Dante Bonfim da Costa Santos,OGC Nice,81,CB
Hatem Ben Arfa,Paris Saint-Germain,81,"CAM, ST"
Tom Heaton,Burnley,81,GK
Martin Škrtel,Fenerbahçe SK,81,CB
Raúl García Escudero,Athletic Club de Bilbao,81,"CAM, RW"
Kevin Mirallas,Everton,81,"LM, LW"
Davide Astori,Fiorentina,81,CB
Simon Mignolet,Liverpool,81,GK
Mathieu Valbuena,Fenerbahçe SK,81,"LW, CAM, LM"
Antonio Adán Garrido,Real Betis,81,GK
Séamus Coleman,Everton,81,RB
Adil Rami,Olympique de Marseille,81,CB
Konstantinos Mitroglou,Olympique de Marseille,81,ST
Marco Parolo,Lazio,81,"CM, CDM"
Diego Perotti,Roma,81,"LW, CF"
Nikola Kalinić,Milan,81,ST
José Paulo Bezzera Maciel Júnior,FC Barcelona,81,"CM, CDM"
Ander Iturraspe Derteano,Athletic Club de Bilbao,81,CM
Óscar de Marcos Arana,Athletic Club de Bilbao,81,RB
Asier Illarramendi Andonegi,Real Sociedad,81,CM
Younès Belhanda,Galatasaray SK,81,"CAM, LW"
Andriy Yarmolenko,Borussia Dortmund,81,"RW, RM"
Lucas Pérez Martínez,Deportivo de La Coruña,81,ST
Jamie Vardy,Leicester City,81,ST
Youri Tielemans,AS Monaco,80,"CM, CAM"
Marcus Rashford,Manchester United,80,"ST, RM, LM"
Daniele Rugani,Juventus,80,CB
Julian Brandt,Bayer 04 Leverkusen,80,"LM, RM, CAM"
Denis Suárez Fernández,FC Barcelona,80,"CM, LM, RM"
Kepa Arrizabalaga,Athletic Club de Bilbao,80,GK
Alejandro Grimaldo García,SL Benfica,80,LB
Piotr Zieliński,Napoli,80,CM
Malcom Filipe Silva de Oliveira,FC Girondins de Bordeaux,80,"RW, CAM, LW"
Ricardo D. Barbosa Pereira,FC Porto,80,"RB, LB, RM"
Jemerson de Jesus Nascimento,AS Monaco,80,CB
Sergej Milinković-Savić,Lazio,80,"CM, CAM"
Oğuzhan Özyakup,Beşiktaş JK,80,"CM, CAM, CDM"
Alex Oxlade-Chamberlain,Liverpool,80,"RM, LM, RWB"
Layvin Kurzawa,Paris Saint-Germain,80,LB
John Anthony Brooks,VfL Wolfsburg,80,CB
Michy Batshuayi Tunga,Chelsea,80,ST
Emre Can,Liverpool,80,"CM, CDM"
Frederico R. de Paula Santos,Shakhtar Donetsk,80,"CM, CDM, CAM"
Samuel Castillejo Azuaga,Villarreal CF,80,"RM, LM"
Nabil Bentaleb,FC Schalke 04,80,"CM, CDM"
Thorgan Hazard,Borussia Mönchengladbach,80,"CF, LM, RM"
Loris Karius,Liverpool,80,GK
Matija Nastasić,FC Schalke 04,80,CB
Kerem Demirbay,TSG 1899 Hoffenheim,80,"CAM, CM"
Alex Nicolao Telles,FC Porto,80,LB
Alisson Ramses Becker,Roma,80,GK
Erik Lamela,Tottenham Hotspur,80,"RM, LM"
James McCarthy,Everton,80,"CDM, CM"
Stephan El Shaarawy,Roma,80,LW
Roberto Pereyra,Watford,80,"CM, CAM"
Hugo Mallo Novegil,RC Celta,80,"RB, CB"
Pablo Sarabia García,Sevilla FC,80,"RM, LM, CM"
Luis Fernando Muriel Fruto,Sevilla FC,80,ST
Kevin Volland,Bayer 04 Leverkusen,80,"ST, RW, LW"
Leonardo Carrilho Baptistão,RCD Espanyol,80,"ST, RM"
Sead Kolašinac,Arsenal,80,"LB, LM"
Sidnei Rechel da Silva Júnior,Deportivo de La Coruña,80,CB
Kevin Vogt,TSG 1899 Hoffenheim,80,"CB, CDM"
Yaroslav Rakitskyi,Shakhtar Donetsk,80,CB
Josuha Guilavogui,VfL Wolfsburg,80,"CDM, CM"
Allan Marques Loureiro,Napoli,80,CM
Jonathan dos Santos Ramírez,LA Galaxy,80,"CM, RM"
Sven Bender,Bayer 04 Leverkusen,80,"CB, CDM"
Matteo Darmian,Manchester United,80,"LB, RB"
Daniel Nii Tackie Mensah Welbeck,Arsenal,80,ST
Fyodor Smolov,FC Krasnodar,80,ST
Paulo Henrique Chagas de Lima,Sevilla FC,80,"CAM, CM"
Alan Dzagoev,PFC CSKA Moscow,80,"CM, CDM, CF"
Daniel Filipe Martins Carriço,Sevilla FC,80,"CB, CDM"
Michail Antonio,West Ham United,80,"ST, RM, RWB"
Daley Blind,Manchester United,80,"LB, CB"
André Schürrle,Borussia Dortmund,80,"LM, ST, LW"
Roberto Soriano,Villarreal CF,80,"LM, CAM, CM"
Daniel Didavi,VfL Wolfsburg,80,"CAM, CM"
Sergio Enrich Ametller,SD Eibar,80,ST
Taras Stepanenko,Shakhtar Donetsk,80,CDM
Jonas Hector,1. FC Köln,80,"CDM, LB"
Michael Carrick,Manchester United,80,CDM
Júlio César Soares de Espíndola,SL Benfica,80,GK
Jermain  Defoe,Bournemouth,80,ST
Patrice Evra,Olympique de Marseille,80,LB
Phil Jagielka,Everton,80,CB
Carlos Idriss Kameni,Fenerbahçe SK,80,GK
Jérémy Mathieu,Sporting CP,80,"CB, LB"
Mehmet Topal,Fenerbahçe SK,80,"CDM, CM, CB"
Atiba Hutchinson,Beşiktaş JK,80,"CDM, CM"
Heurelho da Silva Gomes,Watford,80,GK
James Philip Milner,Liverpool,80,"LB, CM"
Ricardo Izecson dos Santos Leite,Orlando City SC,80,"CAM, CF"
Federico Marchetti,Lazio,80,GK
Antonio Mirante,Bologna,80,GK
Fernando Daniel Belluschi,San Lorenzo de Almagro,80,"CAM, CM"
Javier Fuego Martínez,RCD Espanyol,80,"CDM, CM"
Lukas Podolski,Vissel Kobe,80,"ST, RM, CAM"
Andreas Granqvist,FC Krasnodar,80,CB
Manuel Henrique Tavares Fernandes,Lokomotiv Moscow,80,"CAM, CM"
Salomon Armand Magloire Kalou,Hertha BSC,80,"LM, ST"
Karim El Ahmadi Al Aroos,Feyenoord,80,CM
Vedad Ibišević,Hertha BSC,80,ST
Ben Foster,West Bromwich Albion,80,GK
Łukasz Fabiański,Swansea City,80,GK
Theo  Walcott,Arsenal,80,"RM, LM, ST"
Gabriel Alejandro Paletta,Milan,80,CB
Gustavo Daniel Cabral Cáceres,RC Celta,80,CB
Dušan Basta,Lazio,80,"RB, RM"
Vitaliy Denisov,Lokomotiv Moscow,80,LB
Jardel Nivaldo Vieira,SL Benfica,80,CB
Renato  Soares de Oliveira Augusto,Brazil,80,"CM, CAM, CDM, LM"
Ryan Bertrand,Southampton,80,LB
José Andrés Guardado Hernández,Real Betis,80,"CM, CDM"
Jorge Andújar Moreno,FC Schalke 04,80,"RB, RM"
Daniel Wass,RC Celta,80,"CM, CAM"
Domenico Criscito,Zenit St. Petersburg,80,"LB, CB"
Antonio Candreva,Inter,80,"RM, CAM, RW"
Sergio Germán Romero,Manchester United,80,GK
Héctor Alfredo Moreno Herrera,Roma,80,"CB, LB"
Iván Marcano Sierra,FC Porto,80,CB
Kevin-Prince Boateng,Eintracht Frankfurt,80,"ST, LM, CAM"
Pedro León Sánchez Gil,SD Eibar,80,"RM, LM"
Valter Birsa,Chievo Verona,80,CAM
Ignacio Piatti,Montreal Impact,80,"LW, LM, CF"
Marcus Berg,Sweden,80,"ST, CF"
Augusto Matías Fernández,Atlético Madrid,80,CM
Marcelo Alfonso Díaz Rojas,U.N.A.M.,80,"CM, CDM"
Serdar Taşçı,Spartak Moscow,80,CB
Ignacio Monreal Eraso,Arsenal,80,"LB, CB"
Francisco Casilla Cortés,Real Madrid,80,GK
Eder Citadin Martins,Inter,80,"ST, LW"
Jeremain Lens,Beşiktaş JK,80,"RM, RW"
Ibrahima Traoré,Borussia Mönchengladbach,80,RM
Romain Thomas,Angers SCO,80,CB
