Name,club,overall,player_positions
Jackson Martínez,Atlético Madrid,84,ST
Antoine Griezmann,Atlético Madrid,83,"ST, CAM, LM"
Thiago Alcântara do Nascimento,FC Bayern München,83,"CM, CAM, CDM"
Christian  Dannemann Eriksen,Tottenham Hotspur,83,"CAM, LM"
Ricardo Rodriguez,VfL Wolfsburg,83,LB
Jorge Resurrección Merodio,Atlético Madrid,83,"CAM, LM, RM, CM"
Aymeric  Laporte,Athletic Club de Bilbao,83,CB
Daniel Andre Sturridge,Liverpool,83,"ST, RW"
Marcelo Vieira da Silva Júnior,Real Madrid,83,LB
Radja Nainggolan,Roma,83,CM
Karim Bellarabi,Bayer 04 Leverkusen,83,"RM, RW, CF"
Arda Turan,FC Barcelona,83,"RM, LM"
Stéphane Ruffier,AS Saint-Étienne,83,GK
Ezequiel Marcelo Garay,Zenit St. Petersburg,83,CB
Marek Hamšík,Napoli,83,CAM
Sokratis Papastathopoulos,Borussia Dortmund,83,"CB, RB, LB"
Benedikt Höwedes,FC Schalke 04,83,"CB, RB, LB"
David Luiz Moreira Marinho,Paris Saint-Germain,83,CB
Osvaldo Nicolás Fabián Gaitán,SL Benfica,83,LM
Daniele De Rossi,Roma,83,CDM
Per Mertesacker,Arsenal,83,CB
Jérémy Mathieu,FC Barcelona,83,"CB, LB"
Nemanja Vidić,Inter,83,CB
Javier Alejandro Mascherano,FC Barcelona,83,"CB, CDM"
João Filipe Iria Santos Moutinho,AS Monaco,83,"CAM, CDM"
Samir Handanovič,Inter,83,GK
Leighton Baines,Everton,83,LB
Steve Mandanda,Olympique de Marseille,83,GK
Gary Cahill,Chelsea,83,CB
Laurent Koscielny,Arsenal,83,CB
Samir Nasri,Manchester City,83,"LM, RM"
Diego Alves Carreira,Valencia CF,83,GK
Radamel Falcao García Zárate,Chelsea,83,ST
Antonio Candreva,Lazio,83,RW
Claudio Andrés Bravo Muñoz,FC Barcelona,83,GK
Sami Khedira,Juventus,83,"CDM, CM"
Mario Mandžukić,Juventus,83,ST
Leonardo Bonucci,Juventus,83,CB
Luiz Gustavo Dias,VfL Wolfsburg,83,CDM
Pedro Eliezer Rodríguez Ledesma,Chelsea,83,"LW, RW"
Raphaël Varane,Real Madrid,82,CB
Marc-André ter Stegen,FC Barcelona,82,GK
Raheem Sterling,Manchester City,82,"LM, ST, RM"
Shkodran Mustafi,Valencia CF,82,CB
Stefan de Vrij,Lazio,82,CB
Christian Benteke Liolo,Liverpool,82,ST
Aaron Ramsey,Arsenal,82,"CM, RW, CDM"
İlkay Gündoğan,Borussia Dortmund,82,"CM, CDM, CAM"
Alex Sandro Lobo Silva,Juventus,82,LB
Kostas Manolas,Roma,82,CB
Grzegorz Krychowiak,Sevilla FC,82,CDM
Yevgen Konoplyanka,Sevilla FC,82,"LW, LM"
Roberto Firmino Barbosa de Oliveira,Liverpool,82,"CAM, CF"
Carlos Alberto Vela Garrido,Real Sociedad,82,"RW, CAM, ST"
Morgan Schneiderlin,Manchester United,82,"CDM, CM"
Alex Teixeira dos Santos,Shakhtar Donetsk,82,"CAM, CDM, CM, CF"
Kevin Trapp,Paris Saint-Germain,82,GK
Daniel Parejo Muñoz,Valencia CF,82,"CM, CAM, CDM"
Maxime Gonalons,Olympique Lyonnais,82,"CDM, CB"
Jasper Cillessen,Ajax,82,GK
Lucas Rodrigues M. Silva,Paris Saint-Germain,82,"RW, RM"
Lars Bender,Bayer 04 Leverkusen,82,"CDM, CM"
Yann Sommer,Borussia Mönchengladbach,82,GK
Willian Borges da Silva,Chelsea,82,"RM, CAM"
César Azpilicueta Tanco,Chelsea,82,LB
Pierre-Emerick Aubameyang,Borussia Dortmund,82,"ST, RM, RW"
Kamil Glik,Torino,82,CB
Luís Carlos Almeida da Cunha,Fenerbahçe SK,82,"LM, RM"
Roman Eremenko,PFC CSKA Moscow,82,"CAM, LM, CDM, CM"
Dries Mertens,Napoli,82,"CAM, LW"
香川 真司,Borussia Dortmund,82,"CAM, LM, CF"
Daniel Miguel Alves Gomes,Zenit St. Petersburg,82,"CAM, LW"
Júlio César Soares de Espíndola,SL Benfica,82,GK
Aritz Aduriz Zubeldia,Athletic Club de Bilbao,82,ST
Víctor Valdés Arribas,Manchester United,82,GK
Stephan Lichtsteiner,Juventus,82,"RB, RM"
Jérémy Toulalan,AS Monaco,82,CDM
Pablo Javier Zabaleta Girod,Manchester City,82,RB
Diego López Rodríguez,Milan,82,GK
Ânderson Luís da Silva,SL Benfica,82,CB
Klaas-Jan Huntelaar,FC Schalke 04,82,ST
Lucas Rodrigo Biglia,Lazio,82,"CDM, CM"
Loïc Perrin,AS Saint-Étienne,82,CB
Borja Valero Iglesias,Fiorentina,82,CM
Filipe Luís Kasmirski,Atlético Madrid,82,LB
Salvatore Sirigu,Paris Saint-Germain,82,GK
Leandro Castán da Silva,Roma,82,CB
Asmir Begović,Chelsea,82,GK
Jan Vertonghen,Tottenham Hotspur,82,"CB, LB"
Jonas Gonçalves Oliveira,SL Benfica,82,ST
Fernando Muslera,Galatasaray SK,82,GK
Juan Cuadrado,Juventus,82,"RM, ST, LM"
Manuel Agudo Durán,RC Celta,82,"LW, LM"
Carlos Arturo Bacca Ahumada,Milan,82,ST
Memphis Depay,Manchester United,81,"LW, CAM"
Mattia Perin,Genoa,81,GK
Alvaro Borja Morata Martín,Juventus,81,ST
William Silva de Carvalho,Sporting CP,81,"CDM, CM"
Mateo Pablo Musacchio,Villarreal CF,81,CB
Marcos  Aoás Corrêa,Paris Saint-Germain,81,"CB, RB"
Nicolas N'Koulou,Olympique de Marseille,81,CB
Roberto Pereyra,Juventus,81,"CAM, CM"
Lorenzo Insigne,Napoli,81,"CAM, CF"
Anthony Lopes,Olympique Lyonnais,81,GK
Jan Oblak,Atlético Madrid,81,GK
Simon Thorup Kjær,Fenerbahçe SK,81,CB
Matteo Darmian,Manchester United,81,"RB, RWB, LWB"
Sofiane Feghouli,Valencia CF,81,"RW, RM"
Nathaniel Edwin Clyne,Liverpool,81,RB
Douglas Costa de Souza,FC Bayern München,81,"RM, LM, CAM"
Granit Xhaka,Borussia Mönchengladbach,81,"CM, CAM"
Stefan Savić,Atlético Madrid,81,CB
Daniel Carvajal Ramos,Real Madrid,81,RB
Bojan Krkíc Pérez,Stoke City,81,"CAM, ST, RW"
Axel  Witsel,Zenit St. Petersburg,81,"CM, CDM"
Rui Pedro dos Santos Patrício,Sporting CP,81,GK
Éver Maximiliano David Banega,Sevilla FC,81,CAM
Toby Alderweireld,Tottenham Hotspur,81,"CB, CDM, RB"
Ignacio Camacho Barnola,Málaga CF,81,"CDM, CM"
Jack Wilshere,Arsenal,81,"CM, CDM"
Wilfried Guemiand Bony,Manchester City,81,ST
Ander Herrera Agüera,Manchester United,81,"CM, CAM"
Patrick Herrmann,Borussia Mönchengladbach,81,"RM, LM"
Víctor Machín Pérez,Sevilla FC,81,LM
Allan Marques Loureiro,Napoli,81,"CDM, CM"
Faustino Marcos Alberto Rojo,Manchester United,81,"CB, LB"
Theo  Walcott,Arsenal,81,"RM, ST"
Nuri Şahin,Borussia Dortmund,81,"CM, CDM"
Ralf Fährmann,FC Schalke 04,81,GK
Séamus Coleman,Everton,81,RB
Éverton Augusto de Barros Ribeiro,Brazil,81,"CAM, RM"
Stevan Jovetić,Inter,81,"ST, CAM"
Max Kruse,VfL Wolfsburg,81,"CF, ST, CAM"
Ömer Toprak,Bayer 04 Leverkusen,81,CB
Vicente Iborra de la Fuente,Sevilla FC,81,CDM
Ander Iturraspe Derteano,Athletic Club de Bilbao,81,"CDM, CM"
Henrikh Mkhitaryan,Borussia Dortmund,81,"RM, LM, CAM"
Benoît Costil,Stade Rennais FC,81,GK
Mamadou Sakho,Liverpool,81,CB
Gary Alexis Medel Soto,Inter,81,"CDM, CM"
Martin Stranzl,Borussia Mönchengladbach,81,CB
Tiago Cardoso Mendes,Atlético Madrid,81,"CM, CDM"
Antonio Cassano,Sampdoria,81,CF
Miroslav Klose,Lazio,81,ST
Ricardo Andrade Quaresma Bernardo,Beşiktaş JK,81,"RM, LM"
Didier Yves Drogba Tébily,Montreal Impact,81,ST
Mikel Arteta Amatriain,Arsenal,81,"CM, CDM"
Thiago Motta,Paris Saint-Germain,81,CDM
Patrice Evra,Juventus,81,"LB, LM"
Nigel de Jong,Milan,81,"CDM, CM"
Phil Jagielka,Everton,81,CB
Miguel Ángel Moyá Rumbo,Atlético Madrid,81,GK
Diego Orlando Benaglio,VfL Wolfsburg,81,GK
Martín Gastón Demichelis,Manchester City,81,CB
Alex Rodrigo Dias da Costa,Milan,81,CB
Ricardo Izecson dos Santos Leite,Orlando City SC,81,"CAM, CF"
Helton da Silva Arruda,FC Porto,81,GK
Vincent Enyeama,LOSC Lille,81,GK
Darijo Srna,Shakhtar Donetsk,81,RB
Raffael Caetano de Araújo,Borussia Mönchengladbach,81,CF
Álvaro Negredo Sánchez,Valencia CF,81,ST
Juan Francisco Torres Belén,Atlético Madrid,81,RB
Igor Akinfeev,PFC CSKA Moscow,81,GK
André-Pierre Gignac,Tigres U.A.N.L.,81,ST
Clint Dempsey,Seattle Sounders FC,81,ST
Raúl Albiol Tortajada,Napoli,81,CB
Jérémy Ménez,Milan,81,"CF, LW"
Ashley Williams,Swansea City,81,CB
Martin Škrtel,Liverpool,81,CB
Gonzalo Castro Randon,Borussia Dortmund,81,"CM, CDM, RM, RB"
José Miguel da Rocha Fonte,Southampton,81,CB
Łukasz Piszczek,Borussia Dortmund,81,RB
Mathieu Valbuena,Olympique Lyonnais,81,"CAM, RW"
Dimitri  Payet,West Ham United,81,"CAM, LM"
Benoît Trémoulinas,Sevilla FC,81,LB
Francisco Casilla Cortés,Real Madrid,81,GK
Olivier Giroud,Arsenal,81,ST
Loïc Rémy,Chelsea,81,ST
Edin Džeko,Roma,81,ST
Martín Cáceres,Juventus,81,"CB, RB"
Aurélien Chedjou,Galatasaray SK,81,CB
Marco Parolo,Lazio,81,"CM, CDM"
Bruno  Soriano Llido,Villarreal CF,81,"CDM, CM"
Sebastian Giovinco,Toronto FC,81,"CF, ST"
José María Callejón Bueno,Napoli,81,CAM
Danijel Subašić,AS Monaco,81,GK
Francisco Alcácer García,Valencia CF,80,"ST, CF"
Layvin Kurzawa,Paris Saint-Germain,80,LB
Quincy Anton Promes,Spartak Moscow,80,"RW, RM, LW"
Mohamed  Salah Ghaly,Roma,80,RW
André Filipe Tavares Gomes,Valencia CF,80,"CM, CAM, CDM"
José Luís Gayà Peña,Valencia CF,80,LB
Stephan El Shaarawy,AS Monaco,80,LW
Romelu Lukaku,Everton,80,ST
Danilo Luiz da Silva,Real Madrid,80,RB
Nikola Maksimović,Torino,80,CB
Iker Muniaín Goñi,Athletic Club de Bilbao,80,LW
Gökhan Töre,Beşiktaş JK,80,"RM, LM"
Serge Aurier,Paris Saint-Germain,80,"RB, CB"
Marc Bartra Aregall,FC Barcelona,80,"CB, RB"
Bruno Martins Indi,FC Porto,80,CB
Kevin Volland,TSG 1899 Hoffenheim,80,"RM, ST, CF"
André Martín Carrillo Díaz,Sporting CP,80,"RM, LM"
Domenico Berardi,Sassuolo,80,"RW, CF"
Georginio Wijnaldum,Newcastle United,80,"CAM, CM"
Yacine Brahimi,FC Porto,80,"LW, RW"
Roman Bürki,Borussia Dortmund,80,GK
Kevin Strootman,Roma,80,CM
Eliaquim Mangala,Manchester City,80,CB
Daley Blind,Manchester United,80,"CDM, LB, CM"
Xherdan Shaqiri,Stoke City,80,"RM, CAM, LM"
Víctor Ruíz Torre,Villarreal CF,80,CB
Phil Jones,Manchester United,80,"CB, RB"
Íñigo Martínez Berridi,Real Sociedad,80,CB
Andreas Samaris,SL Benfica,80,CDM
Fábio Alexandre da Silva Coentrão,AS Monaco,80,LB
Sergio  Asenjo Andrés,Villarreal CF,80,GK
Pablo Daniel Piatti,Valencia CF,80,"LW, LM, CF, RW"
Adrien Sebastian Perruchet Silva,Sporting CP,80,CM
Mikel San José Domínguez,Athletic Club de Bilbao,80,"CB, CDM, CM"
Mario  Barwuah Balotelli,Milan,80,ST
Maurício dos Santos Nascimento,Lazio,80,CB
Igor Smolnikov,Zenit St. Petersburg,80,RB
James McCarthy,Everton,80,"CDM, CM"
José Salomón Rondón Giménez,West Bromwich Albion,80,ST
Óscar de Marcos Arana,Athletic Club de Bilbao,80,"RB, CAM"
Eduardo Antonio Salvio,SL Benfica,80,RM
Maicon Pereira Roque,FC Porto,80,CB
Holger Badstuber,FC Bayern München,80,"CB, LB"
André Schürrle,VfL Wolfsburg,80,"LM, RM, CF"
Joël Andre Job Matip,FC Schalke 04,80,"CB, CDM"
Oleg Shatov,Zenit St. Petersburg,80,"LW, CAM, RW"
Neven Subotić,Borussia Dortmund,80,CB
Kieran  Gibbs,Arsenal,80,LB
Ron-Robert Zieler,Hannover 96,80,GK
Filip Đorđević,Lazio,80,ST
Onur Recep Kıvrak,Trabzonspor,80,GK
Tony Jantschke,Borussia Mönchengladbach,80,"CB, RB"
Aderllan de Jesus Santos,Valencia CF,80,CB
Michael Bradley,Toronto FC,80,"CM, CDM, CAM"
Francisco Javier  García Fernández,Zenit St. Petersburg,80,"CDM, CM, CB"
Domenico Criscito,Zenit St. Petersburg,80,LB
Sven Bender,Borussia Dortmund,80,CDM
Daniel Filipe Martins Carriço,Sevilla FC,80,"CB, CDM"
Bibras Natcho,PFC CSKA Moscow,80,"CM, CDM"
Robbie Keane,LA Galaxy,80,ST
Francesco Totti,Roma,80,"CF, LW"
Tomáš  Rosický,Arsenal,80,"CAM, RM"
Tim Howard,Everton,80,GK
Michael Carrick,Manchester United,80,"CM, CDM"
José Manuel  Reina Páez,Napoli,80,GK
Stefano Mauri,Lazio,80,"CAM, LW, CM"
Zoran Tošić,PFC CSKA Moscow,80,RM
Andoni Iraola Sagarna,New York City FC,80,"RB, CB"
David Villa Sánchez,New York City FC,80,ST
Cédric Carrasso,FC Girondins de Bordeaux,80,GK
Selçuk İnan,Galatasaray SK,80,"CM, CDM"
Maicon Douglas Sisenando,Roma,80,RB
Fernando Luiz Rosa,Manchester City,80,"CM, CDM"
Stefan Kießling,Bayer 04 Leverkusen,80,ST
Michel Vorm,Tottenham Hotspur,80,GK
James Philip Milner,Liverpool,80,"CM, RM, LM"
Federico Marchetti,Lazio,80,GK
Francisco Guillermo Ochoa Magaña,Málaga CF,80,GK
Gonzalo Javier Rodríguez,Fiorentina,80,CB
Volkan Demirel,Fenerbahçe SK,80,GK
Javier Fuego Martínez,Valencia CF,80,"CDM, CM, CB"
Jesús Navas González,Manchester City,80,RM
Gabriel Fernández Arenas,Atlético Madrid,80,CM
Igor Denisov,Dinamo Moscow,80,CDM
Daniel Munthe Agger,Brøndby IF,80,CB
Gaël Clichy,Manchester City,80,LB
Ashley Young,Manchester United,80,"LM, LWB"
Rodrigo Sebastián Palacio,Inter,80,ST
Thomas Vermaelen,FC Barcelona,80,"CB, LB"
Jefferson Agustín Farfán Guadalupe,Peru,80,"CAM, RM"
Mathieu Debuchy,Arsenal,80,RB
Gökhan İnler,Leicester City,80,"CDM, CM"
Ezequiel Iván Lavezzi,Paris Saint-Germain,80,"LW, RW"
Roberto Trashorras Gayoso,Rayo Vallecano,80,"CM, CDM"
Riccardo Montolivo,Milan,80,"CM, CDM"
Fernando Javier Llorente Torres,Sevilla FC,80,ST
Moussa Sidi Yaya Dembélé,Tottenham Hotspur,80,"CM, CDM"
Giuseppe Rossi,Fiorentina,80,ST
Lassana Diarra,Olympique de Marseille,80,"CDM, CM"
Mbark Boussoufa,Lokomotiv Moscow,80,CAM
Jakub Błaszczykowski,Fiorentina,80,RM
Dušan Basta,Lazio,80,"RB, RM"
Roman Shirokov,Spartak Moscow,80,"CM, CAM"
Jardel Nivaldo Vieira,SL Benfica,80,CB
Fredy Alejandro Guarín Vásquez,Inter,80,CM
Ryan Shawcross,Stoke City,80,CB
Gervais Lombe Yao Kouassi,Roma,80,"LW, RW"
José Andrés Guardado Hernández,PSV,80,"CM, CDM"
Kevin Mirallas,Everton,80,"LM, RM"
Jorge Andújar Moreno,Sevilla FC,80,RB
Adelino André Vieira de Freitas,VfL Wolfsburg,80,"RM, RB"
Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,80,"CM, CDM"
Ignacio Monreal Eraso,Arsenal,80,"LB, CB"
Javier Hernández Balcázar,Bayer 04 Leverkusen,80,ST
Branislav Ivanović,Chelsea,80,RB
Adam David Lallana,Liverpool,80,"CAM, RW, LM"
Vedran Ćorluka,Lokomotiv Moscow,80,CB
Maximiliano Pereira,FC Porto,80,RB
Balázs Dzsudzsák,Bursaspor,80,"LM, RM"
Roberto Jiménez Gago,Olympiacos CFP,80,GK
Ramires Santos do Nascimento,Chelsea,80,"CDM, CM"
Taison Barcellos Freda,Shakhtar Donetsk,80,"CAM, LW"
Marko Baša,LOSC Lille,80,CB
Ross Barkley,Everton,79,"CAM, LM"
Timo Horn,1. FC Köln,79,GK
Felipe  Anderson Pereira Gomes,Lazio,79,"LW, RW, CAM"
Óliver Torres Muñoz,Atlético Madrid,79,"CAM, RM, CM"
Johannes Geis,FC Schalke 04,79,"CDM, CM"
Luciano Vietto,Atlético Madrid,79,ST
Gerónimo Rulli,Real Sociedad,79,GK
Bernardo Mota Veiga de Carvalho e Silva,AS Monaco,79,"RM, CAM, CM"
Alex Oxlade-Chamberlain,Arsenal,79,"RM, RW"
Danilo Luís Hélio Pereira,FC Porto,79,CDM
Mauro Emanuel Icardi Rivero,Inter,79,ST
Davy Klaassen,Ajax,79,"CAM, CM"
Samuel Umtiti,Olympique Lyonnais,79,"CB, LB"
Manuel Trigueros Muñoz,Villarreal CF,79,"CM, CAM"
Paulo André R. Oliveira,Sporting CP,79,CB
Nabil Fékir,Olympique Lyonnais,79,"ST, CAM, RW, LW"
Jordan Brian Henderson,Liverpool,79,"CM, CDM, RM"
Kyriakos Papadopoulos,Bayer 04 Leverkusen,79,CB
Daniel Nii Tackie Mensah Welbeck,Arsenal,79,"ST, LM"
Chris Smalling,Manchester United,79,"CB, RB"
Adem Ljajić,Inter,79,"LW, RW"
Asier Illarramendi Andonegi,Real Sociedad,79,"CM, CDM"
Mario Gaspar Pérez Martínez,Villarreal CF,79,RB
Rodrigo Moreno Machado,Valencia CF,79,"RW, ST, LW, CF"
Vincent Paté Aboubakar,FC Porto,79,ST
Cristian Tello Herrera,FC Porto,79,"RW, LW"
Paul-Georges Ntep de Madiba,Stade Rennais FC,79,"LM, LW"
Christoph Kramer,Bayer 04 Leverkusen,79,"CDM, CM"
Matija Nastasić,FC Schalke 04,79,CB
Hakan Çalhanoğlu,Bayer 04 Leverkusen,79,"CAM, CF, CM"
Erik Lamela,Tottenham Hotspur,79,"RM, CAM"
Emiliano Adrián Insúa Zapata,VfB Stuttgart,79,LB
Steven N'Kemboanza Mike Christopher Nzonzi,Sevilla FC,79,"CDM, CM"
Kyle Walker,Tottenham Hotspur,79,RB
Jonathas de Jesus Maurício,Real Sociedad,79,ST
Iago Falqué Silva,Roma,79,"RW, LW"
Sergio Canales Madrazo,Real Sociedad,79,"CAM, LM, LW"
Mário Figueira Fernandes,PFC CSKA Moscow,79,RB
Norberto Murara Neto,Juventus,79,GK
Martín Montoya Torralbo,Inter,79,RB
Juan Guilherme Nunes Jesus,Inter,79,"CB, LB"
Rafael Alcântara do Nascimento,FC Barcelona,79,"CM, RW, RM, LW"
Juan Bernat Velasco,FC Bayern München,79,"LB, LM"
Rasmus Elm,Kalmar FF,79,CDM
Giovani dos Santos Ramírez,LA Galaxy,79,"ST, CF, LW, RW"
André Ayew Pelé,Swansea City,79,"LM, CM"
Max Gradel,Bournemouth,79,"LW, RW, ST"
Diego Perotti,Genoa,79,"LW, RW"
Wojciech  Szczęsny,Roma,79,GK
Kwadwo Asamoah,Juventus,79,"LM, CM"
Alan Dzagoev,PFC CSKA Moscow,79,"LM, CDM, CAM, RM"
Luuk de Jong,PSV,79,ST
Ciro Immobile,Sevilla FC,79,ST
Wahbi Khazri,FC Girondins de Bordeaux,79,"CAM, LM"
Luís Miguel Afonso Fernandes,SL Benfica,79,"CAM, CM, RM"
Sebastian Rode,FC Bayern München,79,"CDM, CM, RB"
Nacer Chadli,Tottenham Hotspur,79,"LM, LW"
Aïssa Mandi,Stade de Reims,79,"RB, CB"
Aleix Vidal Parreu,FC Barcelona,79,"RM, LM, RB"
João Natailton Ramos dos Santos,FC Krasnodar,79,"LM, LW, LB"
Franco Vázquez,Palermo,79,"CF, CAM"
Bruno da Silva Peres,Torino,79,RWB
Adel Taarabt,SL Benfica,79,"CAM, LM"
Franco Matías Di Santo,FC Schalke 04,79,ST
Lars Stindl,Borussia Mönchengladbach,79,"CAM, CM, RM"
Artem Dzyuba,Zenit St. Petersburg,79,ST
Jefferson Moreira Nascimento,Sporting CP,79,LB
Rémy Cabella,Olympique de Marseille,79,"RM, CAM, LM, ST"
Dejan Lovren,Liverpool,79,CB
Dušan Tadić,Southampton,79,"LM, RM, CAM"
Federico Mancuello,Independiente,79,CM
Andrea Consigli,Sassuolo,79,GK
Mario Suárez Mata,Fiorentina,79,"CM, CDM"
Héctor Alfredo Moreno Herrera,PSV,79,CB
Zlatko Junuzović,SV Werder Bremen,79,"CM, CAM, CDM, LM"
Serdar Taşçı,Spartak Moscow,79,CB
Claudio Beauvue,Olympique Lyonnais,79,"ST, LM, RM"
Marlos Romero Bonfim,Shakhtar Donetsk,79,"CAM, LW, RW"
Seydou Doumbia,PFC CSKA Moscow,79,ST
Bas Dost,VfL Wolfsburg,79,ST
Mikel Balenziaga Oruesagasti,Athletic Club de Bilbao,79,LB
Ludovic Lamine Sané,FC Girondins de Bordeaux,79,"CB, CDM"
Romain Hamouma,AS Saint-Étienne,79,"RM, RW, CAM"
Keylor Navas,Real Madrid,79,GK
Roman Weidenfeller,Borussia Dortmund,79,GK
Morgan De Sanctis,Roma,79,GK
Frank  Lampard,New York City FC,79,"CM, CDM, CAM"
Gareth Barry,Everton,79,CDM
Samuel Eto'o Fils,Antalyaspor,79,ST
Seydou Kéita,Roma,79,"CDM, CM"
Philippe Mexès,Milan,79,CB
Fabricio Coloccini,Newcastle United,79,CB
Kevin Kurányi,TSG 1899 Hoffenheim,79,ST
Fernando José Torres Sanz,Atlético Madrid,79,ST
Jermain  Defoe,Sunderland,79,ST
Maxwell Scherrer Cabelino Andrade,Paris Saint-Germain,79,LB
Alberto Aquilani,Sporting CP,79,CM
Carlos Gurpegi Nausia,Athletic Club de Bilbao,79,CB
José Antonio Reyes Calderón,Sevilla FC,79,"RM, LM"
Gorka Iraizoz Moreno,Athletic Club de Bilbao,79,GK
Rubén Castro Martín,Real Betis,79,"ST, LM"
Antonio Di Natale,Udinese,79,ST
Alexander Meier,Eintracht Frankfurt,79,"ST, CF, CAM"
René Adler,Hamburger SV,79,GK
Burak Yılmaz,Galatasaray SK,79,ST
Mehmet Topal,Fenerbahçe SK,79,CDM
Diego Ribas da Cunha,Fenerbahçe SK,79,CAM
Daniel Baier,FC Augsburg,79,CDM
Obafemi Akinwunmi Martins,Seattle Sounders FC,79,ST
Bruno Eduardo Regufe Alves,Fenerbahçe SK,79,CB
Emir Spahić,Hamburger SV,79,CB
