Name,club,overall,player_positions
Leon Bailey Butler,Bayer 04 Leverkusen,82,"LW, RW"
Gabriel Fernando de Jesus,Manchester City,82,ST
Mateo Kovačić,Chelsea,82,CM
Andrea Belotti,Torino,82,ST
Thomas Strakosha,Lazio,82,GK
Naby Keïta,Liverpool,82,"CM, CDM"
Lucas Torreira Di Pascua,Arsenal,82,"CDM, CM"
Rúben Diogo da Silva Neves,Wolverhampton Wanderers,82,CM
Presnel Kimpembe,Paris Saint-Germain,82,CB
Steven Bergwijn,PSV,82,"RW, CAM, LW"
André Onana,Ajax,82,GK
Nélson Cabral Semedo,FC Barcelona,82,RB
Alphonse Areola,Paris Saint-Germain,82,GK
Mattia Perin,Juventus,82,GK
Daniele Rugani,Juventus,82,CB
Ángel Correa,Atlético Madrid,82,"RM, ST"
Iñaki Williams Arthuer,Athletic Club de Bilbao,82,"ST, RW"
Hirving Rodrigo Lozano Bahena,PSV,82,"RW, LW"
Gelson Dany Batalha Martins,AS Monaco,82,"RM, RW"
Benjamin Lecomte,AS Monaco,82,GK
Thomas Partey,Atlético Madrid,82,"CM, CDM, RM"
Kerem Demirbay,Bayer 04 Leverkusen,82,CM
Joël Andre Job Matip,Liverpool,82,CB
Jesús Joaquín Fernández Sáez,Milan,82,"RW, CF"
Stefan Savić,Atlético Madrid,82,CB
Antonio Rüdiger,Chelsea,82,CB
Fernando Pacheco Flores,Deportivo Alavés,82,GK
Ricardo Barbosa Pereira,Leicester City,82,"RB, RM"
Nicolás Alejandro Tagliafico,Ajax,82,LB
David Soria Solís,Getafe CF,82,GK
Sergio  Asenjo Andrés,Villarreal CF,82,GK
Iker Muniain Goñi,Athletic Club de Bilbao,82,"CAM, LW"
Mario Götze,Borussia Dortmund,82,"CF, CAM, CM"
Thomas Delaney,Borussia Dortmund,82,"CDM, CM"
Oliver Baumann,TSG 1899 Hoffenheim,82,GK
Willian José da Silva,Real Sociedad,82,ST
Sergio Roberto Carnicer,FC Barcelona,82,"RB, RM, CM"
Nico Schulz,Borussia Dortmund,82,"LWB, LM, LB"
Kevin Volland,Bayer 04 Leverkusen,82,"ST, RW, LW"
José Ignacio Fernández Iglesias,Real Madrid,82,"CB, LB, RB"
Gabriel Armando de Abreu,Valencia CF,82,CB
Jérôme Roussillon,VfL Wolfsburg,82,LB
Harry Maguire,Manchester United,82,CB
Thorgan Hazard,Borussia Dortmund,82,"RM, LM, CF"
Emil Forsberg,RB Leipzig,82,"CAM, LM"
Filip Kostić,Eintracht Frankfurt,82,"LM, LWB"
Matteo Politano,Inter,82,"RM, ST"
Rafael Alexandre Fernandes Ferreira da Silva,SL Benfica,82,"LM, RM"
José Manuel  Reina Páez,Milan,82,GK
Daniele De Rossi,Boca Juniors,82,CDM
Aritz Aduriz Zubeldia,Athletic Club de Bilbao,82,ST
Jesús Navas González,Sevilla FC,82,"RM, RB"
Santiago Cazorla González,Villarreal CF,82,"CM, CDM, LM"
Héctor Miguel Herrera López,Atlético Madrid,82,CM
Lucas Rodrigo Biglia,Milan,82,"CDM, CM"
Łukasz Fabiański,West Ham United,82,GK
Emiliano Viviano,Sporting CP,82,GK
Juan Manuel Mata García,Manchester United,82,"CAM, RM"
Olivier Giroud,Chelsea,82,ST
Simon Thorup Kjær,Sevilla FC,82,CB
Willian Borges da Silva,Chelsea,82,"RW, LW"
Vedran Ćorluka,Lokomotiv Moscow,82,CB
Marko Arnautović,Shanghai SIPG FC,82,ST
Alexis Alejandro Sánchez Sánchez,Manchester United,82,"LW, LM"
Giuliano Victor de Paula,Al Nassr,82,CAM
Aleksandar Kolarov,Roma,82,LB
Mario  Barwuah Balotelli,Brescia,82,ST
Marlos Romero Bonfim,Shakhtar Donetsk,82,"RM, CAM"
Taison Barcellos Freda,Shakhtar Donetsk,82,"CAM, LM"
Bas Dost,Sporting CP,82,ST
Giacomo Bonaventura,Milan,82,"CM, LW"
Pedro Eliezer Rodríguez Ledesma,Chelsea,82,"RW, LW"
Luuk de Jong,Sevilla FC,82,ST
Stephan El Shaarawy,Shanghai Greenland Shenhua FC,82,LW
Ander Herrera Agüera,Paris Saint-Germain,82,"CM, CDM"
Xherdan Shaqiri,Liverpool,82,"RW, RM"
Mário Figueira Fernandes,PFC CSKA Moscow,82,"RWB, RM"
Sebastián Coates Nión,Sporting CP,82,CB
Cédric Bakambu,Beijing Sinobo Guoan FC,82,ST
Thomas Meunier,Paris Saint-Germain,82,"RB, RM"
Karim Bellarabi,Bayer 04 Leverkusen,82,RW
Jesse Lingard,Manchester United,82,"CAM, RW"
Quincy Anton Promes,Ajax,82,"LW, RW"
Jamie Vardy,Leicester City,82,ST
Duván Zapata,Atalanta,82,ST
José Luis Morales Nogales,Levante UD,82,"ST, LM"
Raphael William Anjos Rochedo,Grêmio,82,GK
Juan Everton Mestres de Mesquita,Cruzeiro,82,"CB, CDM"
Rosberto J. Dourado Santos,Atlético Mineiro,82,"CDM, CM, CAM"
Egidio Maestre Schetino,Uruguay,82,CB
José María Sildero,Uruguay,82,"CAM, RM"
Lautaro Martínez,Inter,81,ST
Houssem Aouar,Olympique Lyonnais,81,CM
Tanguy NDombèlé Alvaro,Tottenham Hotspur,81,"CM, CDM"
Éder Gabriel Militão,Real Madrid,81,"CB, RB"
Alessio Cragno,Cagliari,81,GK
Donny van de Beek,Ajax,81,"CAM, CM"
Victor Nilsson Lindelöf,Manchester United,81,CB
Daniel Ceballos Fernández,Arsenal,81,"CM, LM, CDM"
Pablo Fornals Malla,West Ham United,81,"CAM, CM, LM"
Emre Can,Juventus,81,"CM, CDM"
José Luís Gayà Peña,Valencia CF,81,LB
David Neres Campos,Ajax,81,"LW, RW, CAM"
Piotr Zieliński,Napoli,81,"CM, LM"
Gerónimo Rulli,Montpellier HSC,81,GK
Granit Xhaka,Arsenal,81,"CM, CDM"
Rafael Alcântara do Nascimento,FC Barcelona,81,"CAM, CM, RW"
Geoffrey Kondogbia,Valencia CF,81,"CM, CDM"
Marcel Sabitzer,RB Leipzig,81,"CAM, CM"
Luke Shaw,Manchester United,81,LB
Josef Alexander Martínez,Atlanta United,81,ST
Abdoulaye Doucouré,Watford,81,"CDM, CM"
Onyinye Wilfred Ndidi,Leicester City,81,"CDM, CM"
Timo Horn,1. FC Köln,81,GK
Willi Orban,RB Leipzig,81,CB
Alassane Plea,Borussia Mönchengladbach,81,"ST, LW"
Yussuf Yurary Poulsen,RB Leipzig,81,ST
Ryan Fraser,Bournemouth,81,LM
Matthias Ginter,Borussia Mönchengladbach,81,"CB, CDM"
Raphaël Guerreiro,Borussia Dortmund,81,"LM, LB, CM"
João Mário Naval Costa Eduardo,Inter,81,"CAM, CM"
Thiago Henrique Mendes Ribeiro,Olympique Lyonnais,81,"CDM, CM"
Armando Izzo,Torino,81,CB
Marcelo Brozović,Inter,81,"CDM, CM"
Adem Ljajić,Beşiktaş JK,81,"CAM, LW"
Jesús Corona,FC Porto,81,"RM, RB"
Jordi Masip López,Real Valladolid CF,81,GK
Tomáš Vaclík,Sevilla FC,81,GK
Luka Milivojević,Crystal Palace,81,"CDM, CM"
Gerard Moreno Balagueró,Villarreal CF,81,"ST, CF"
Wout Weghorst,VfL Wolfsburg,81,ST
Ricardo Andrade Quaresma Bernardo,Beşiktaş JK,81,"RM, LM"
Jérémy Mathieu,Sporting CP,81,CB
James Philip Milner,Liverpool,81,"CM, LB"
Lisandro López,Racing Club,81,ST
Bafétimbi Gomis,Al Hilal,81,ST
Moussa Sidi Yaya Dembélé,Guangzhou R&F FC,81,"CM, CAM, CDM"
Francesc Fàbregas i Soler,AS Monaco,81,"CM, CDM"
Andrea Consigli,Sassuolo,81,GK
Laurent Koscielny,FC Girondins de Bordeaux,81,CB
Jardel Nivaldo Vieira,SL Benfica,81,CB
Renato  Soares de Oliveira Augusto,Beijing Sinobo Guoan FC,81,"CM, CAM, CDM"
José Miguel da Rocha Fonte,LOSC Lille,81,CB
José Andrés Guardado Hernández,Real Betis,81,"CM, CDM, LM"
Łukasz Piszczek,Borussia Dortmund,81,RB
Kévin Gameiro,Valencia CF,81,ST
Dimitri  Payet,Olympique de Marseille,81,"CAM, LW"
Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,81,CM
Antonio Adán Garrido,Atlético Madrid,81,GK
Benedikt Höwedes,Lokomotiv Moscow,81,"CB, LB"
Fernando Muslera,Galatasaray SK,81,GK
Moussa Sissoko,Tottenham Hotspur,81,"CM, CDM"
Marco Parolo,Lazio,81,"CDM, CM"
Fernando Francisco Reges,Sevilla FC,81,"CDM, CM"
Osvaldo Nicolás Fabián Gaitán,Chicago Fire,81,CAM
Sebastian Giovinco,Al Hilal,81,"CF, ST, RM"
Luiz Gustavo Dias,Olympique de Marseille,81,"CDM, CB"
Nicolas N'Koulou,Torino,81,CB
Nemanja Matić,Manchester United,81,"CDM, CM"
Marcos Alonso Mendoza,Chelsea,81,"LB, LWB"
Henrikh Mkhitaryan,Arsenal,81,"RM, CAM, RW"
André Gomes Magalhaes de Almeida,SL Benfica,81,RB
Alessandro  Florenzi,Roma,81,"RB, RW, LW"
Eran Zahavi,Guangzhou R&F FC,81,"CF, ST"
Franco Vázquez,Sevilla FC,81,"CM, CAM"
Lucas Vázquez Iglesias,Real Madrid,81,"RW, RM"
Daniel García Carrillo,Athletic Club de Bilbao,81,"CM, CDM"
Marcos Javier Acuña,Sporting CP,81,"LW, LB"
Laureano Thomas Santeiro Marre,Fluminense,81,"CAM, LM, LW"
Jaime Nicolás Frendado,Uruguay,81,"CB, CDM"
Saúl Marcelo Ardero,Uruguay,81,"CAM, LM, LW"
Luis Roberto Dálves,Uruguay,81,"ST, CF"
Segundo Mandíquez,Ecuador,81,ST
João Félix Sequeira,Atlético Madrid,80,"CF, ST"
Nicolò Barella,Inter,80,"CM, CAM"
Joe Gomez,Liverpool,80,"CB, RB"
Andreas Christensen,Chelsea,80,CB
Mike Maignan,LOSC Lille,80,GK
Youri Tielemans,Leicester City,80,"CM, CDM"
Mario Hermoso Canseco,Atlético Madrid,80,CB
Carlos Soler Barragán,Valencia CF,80,"RM, CM"
Mattia Caldara,Milan,80,CB
Harry Winks,Tottenham Hotspur,80,"CM, CDM"
Krzysztof Piątek,Milan,80,ST
Diogo José Teixeira da Silva,Wolverhampton Wanderers,80,"CF, LW"
Marcos Llorente Moreno,Atlético Madrid,80,CDM
Ferland Mendy,Real Madrid,80,LB
Óscar Melendo Jiménez,RCD Espanyol,80,"RM, LM, CAM"
Rúben Alves Dias,SL Benfica,80,CB
Dominik Livaković,Dinamo Zagreb,80,GK
Héctor Bellerín Moruno,Arsenal,80,"RB, RWB"
Benjamin Mendy,Manchester City,80,LB
Moussa Dembélé,Olympique Lyonnais,80,ST
Odisseas Vlachodimos,SL Benfica,80,GK
Santiago Mina Lorenzo,RC Celta,80,ST
Marcos Paulo Mesquita Lopes,Sevilla FC,80,"LM, LW"
Joaquín Correa,Lazio,80,"CF, ST, CAM"
Tiémoué Bakayoko,Chelsea,80,"CDM, CM"
Maximilian Eggestein,SV Werder Bremen,80,"CM, CAM, CDM"
Álvaro Odriozola Arzalluz,Real Madrid,80,RB
Maximiliano Gómez,Valencia CF,80,ST
Sergi Darder Moll,RCD Espanyol,80,"CM, CDM"
Kurt Happy Zouma,Chelsea,80,CB
Leandro Paredes,Paris Saint-Germain,80,"CM, CDM"
Nathan Aké,Bournemouth,80,CB
Elseid Hysaj,Napoli,80,RB
André Filipe Tavares Gomes,Everton,80,"CDM, CM"
Keita Baldé,AS Monaco,80,"RM, ST, LM"
Julian Weigl,Borussia Dortmund,80,"CDM, CB"
Valentin Rongier,FC Nantes,80,"CM, CAM"
Yeray Álvarez López,Athletic Club de Bilbao,80,CB
Lorenzo Morón García,Real Betis,80,ST
Ricardo Rodríguez,Milan,80,"LB, CB"
Alex Oxlade-Chamberlain,Liverpool,80,"CM, RM"
José Ángel Gómez Campaña,Levante UD,80,"CM, CDM"
Aïssa Mandi,Real Betis,80,CB
Gerard Deulofeu Lázaro,Watford,80,"CF, RW, LW"
Juan Bernat Velasco,Paris Saint-Germain,80,"LB, LM"
Esteban Andrada,Boca Juniors,80,GK
Michael Keane,Everton,80,CB
Juan Fernando Quintero,River Plate,80,"CAM, CF"
Samuel Castillejo Azuaga,Milan,80,"RM, LM, CM"
Walter Benítez,OGC Nice,80,GK
Ante Rebić,Eintracht Frankfurt,80,"ST, LW, CAM"
Eric Bailly,Manchester United,80,CB
Miguel Almirón,Newcastle United,80,"LW, CF"
Manuel Lazzari,Lazio,80,RM
Manuel Lanzini,West Ham United,80,"CAM, CM, LM"
Jeroen Zoet,PSV,80,GK
Mathew Ryan,Brighton & Hove Albion,80,GK
Sergi Gómez Solà,Sevilla FC,80,CB
Hans Vanaken,Club Brugge KV,80,"CAM, CF"
Martin Hinteregger,Eintracht Frankfurt,80,CB
Matija Nastasić,FC Schalke 04,80,CB
Gabriel Appelt Pires,SL Benfica,80,"CM, CDM"
Callum Wilson,Bournemouth,80,ST
Josuha Guilavogui,VfL Wolfsburg,80,"CDM, CM"
Davy Klaassen,SV Werder Bremen,80,"CM, CAM"
Pavel Kadeřábek,TSG 1899 Hoffenheim,80,"RWB, RB, RM"
Christoph Kramer,Borussia Mönchengladbach,80,"CDM, CM"
Íñigo Martínez Berridi,Athletic Club de Bilbao,80,CB
Cristian Portugués Manzanera,Real Sociedad,80,"CF, ST, RM"
Manuel Trigueros Muñoz,Villarreal CF,80,"CM, CDM"
Hakan Çalhanoğlu,Milan,80,"LW, CAM, CM"
Moanes Dabour,Sevilla FC,80,"ST, LM"
Marcel Halstenberg,RB Leipzig,80,LB
Matias Vecino,Inter,80,CDM
Martin Dúbravka,Newcastle United,80,GK
Marko Dmitrović,SD Eibar,80,GK
Joaquín Sánchez Rodríguez,Real Betis,80,"LM, ST, RM"
Wayne Mark Rooney,DC United,80,ST
Miguel Ángel Moyá Rumbo,Real Sociedad,80,GK
Luís Carlos Almeida da Cunha,Orlando City SC,80,"LW, RW"
Javier Alejandro Mascherano,Hebei China Fortune FC,80,"CDM, CB"
Diego López Rodríguez,RCD Espanyol,80,GK
Igor Akinfeev,PFC CSKA Moscow,80,GK
André-Pierre Gignac,Tigres U.A.N.L.,80,ST
Jorge Molina Vidal,Getafe CF,80,ST
Benoît Costil,FC Girondins de Bordeaux,80,GK
Loïc Perrin,AS Saint-Étienne,80,CB
Ben Foster,Watford,80,GK
Tom Heaton,Aston Villa,80,GK
Steve Mandanda,Olympique de Marseille,80,GK
Charles Dias De Oliveira,SD Eibar,80,ST
Ştefan Daniel Radu,Lazio,80,CB
Danny Rose,Tottenham Hotspur,80,"LB, LWB"
Erik Lamela,Tottenham Hotspur,80,"RM, LM, CAM"
